Question,Option A,Option B,Option C,Correct Answer
231. What is each atom made up of the following components?,"Protons, Neutrons, Electrons","Protons, Core, Electrons","Nucleus, Neutrons, Electrons","Protons, Core, Electrons"
232. How many valence electrons with L shell?,5,3,8,8
233. The mass of an atom is mainly focus on the?,Electrons,Protons,Protons and neutrons,Protons
234. What charge does the nucleus of an atom possess?,Positive,Negative,Neutral,Positive
235. What is the reason for the good conductivity of metal?,Metal is the high mobility of its electrons,Metal is the low mobility of its electrons,Metal is an arrangement of atoms with 8 electrons in the valence orbit,Metal is the high mobility of its electrons
236. What is a molecule?,The smallest unit of a substance,The smallest part of an electron,The smallest part of an atom,The smallest unit of a substance
237. Coulomb’s Law is,About the force electrical charges have on each other,About the force molecule charges have on each other,About the Energy electrical charges have on each other,About the force electrical charges have on each other
238. What effect do the electrons of one atom have upon the electrons of another atom?,They repel each other,They attract each other,They have no effect on each other,They repel each other
239. What is the definition of Elementary Charge?,"Every electron carries a negative charge, every proton carries a positive charge. Both have the smallest charge existing,","Every Proton carries a negative charge, every Neutron carries a positive charge. Both have the smallest charge existing,","Every electron carries a positive charge, every proton carries a negative charge. Both have the smallest charge existing,","Every electron carries a negative charge, every proton carries a positive charge. Both have the smallest charge existing,"
"240. If 2 coulombs flowed through a circuit in 2 seconds, the circuit would have",2 volts PD,2 amps,1 amp,1 amp
241. An electric current is a flow of,Electrons from a positively charged area to a negatively charged area,Protons from a positively charged area to a negatively charged area,Electrons from a negatively charged area to a positively charged area,Electrons from a negatively charged area to a positively charged area
242. An electric current is,A surplus of free electron,An excitement of electrons in a metal,An ordered flow of electrons,An ordered flow of electrons
243. Electromotive force is measured in,Watts,Ohms,Volts,Volts
244. Voltage is generated by,The free flow of neutron,The heat between electron and proton,The separation of charges,The separation of charges
245. Which of the following is 1Amp?,1000 A,1000 kA,1000 mA,1000 mA
246. 1 Ampere will equal to?,6.25 x 10^15 electrons per second.,6.25 x 10^21 electrons per millisecond.,6.25 x 10^18 electrons per second.,6.25 x 10^18 electrons per second.
247. What type of current exist in conductive liquids?,Electron current,Ion and electron currents,Ion currents,Ion currents
248. An electric current is a flow of,Electrons from a positively charged area to a negatively charged area,Protons from a positively charged area to a negatively charged area,Electrons from a negatively charged area to a positively charged area,Electrons from a negatively charged area to a positively charged area
249. Which types of material contain positive charges?,"Nylon, Silver, Copper, lead","Sulfur, Polyester, Silicon, Celluloid","Glass, human hair, silk, lead, aluminium","Glass, human hair, silk, lead, aluminium"
250. What will happen when rubbing glass rod and silk?,Nothing happens,Glass rods receive electrons and become negatively charged,Glass rods give up electrons and become positively charged,Glass rods give up electrons and become positively charged
251. A piezoelectric device generates electricity through,Pressure,Friction,Light,Pressure
252. The direction of the induced voltage depends on,The movement of the magnetic field,The movement direction as well as the direction of the magnetic field,The voltage applied,The movement direction as well as the direction of the magnetic field
253. Which direction will the electron of the conductor be caused to deflect during induction process?,Lateral,Longitudinal,Freely move,Longitudinal
254. What is the main function of photocells?,Provide heat for conductor,Generators of electrical voltage,Produce energy for transmitting voltage,Generators of electrical voltage
255. Photocells are also regarded as,Opto-electronic components,Transducers,Capacitors,Opto-electronic components
256. What happens during the breaking up process of the crystal bonding?,Current and electromagnetic are born,An electron and hole are released,Nothing happens,An electron and hole are released
257. The process of breaking up crystal bonding is caused by,Protons,High voltage,Photons,Photons
"258. When belonging to the galvanic cell, primary cells are knowns as",Batteries,Heat supply,Electromagnetic field,Batteries
259. What happens when increase the distance between both substances of the galvanic cells in series?,Electromotive force decrease,The voltage between both substances increase,Nothing happens,The voltage between both substances increase
260. What kind of voltage is generated when a coil enters the magnetic field of a magnet?,Induction,Capacitance,Reactance,Induction
261. What is the most popular combination of batteries?,Copper-oxygen,Lead-Helium,Zinc-carbon,Zinc-carbon
262. What does every battery generally contain?,Plates and an acid which has a certain resistance,Electromagnetic field,Surplus voltage and current,Plates and an acid which has a certain resistance
263. Where can secondary cells be used?,"Cars, aircraft, laptop",Thermometer,Thyristor,"Cars, aircraft, laptop"
264. Design and Principle of Operation thermocouples?,"Two different metals (e.g. copper and iron) are connected at one end, a voltage is generated between the two free ends when temperatures increase",Different metals have different numbers of free electrons and therefore a different electron density.,"Different metals have different numbers of free electrons and therefore a different electron density; Two different metals (e.g. copper and iron) are connected at one end, a voltage is generated between the two free ends when temperatures increase","Different metals have different numbers of free electrons and therefore a different electron density; Two different metals (e.g. copper and iron) are connected at one end, a voltage is generated between the two free ends when temperatures increase"
265. What is thermocouple application for?,"Thermocouples are used to measure temperatures (temperature range from−200° C to 2300° C) e.g. for remote measurements of temperatures at hard to reach places, e.g. ovens and windings.","Thermocouples are used to measure temperatures (temperature range from−200° C to 2300° C). In aviation, thermocouples are mainly used to measure exhaust gas temperatures of engines.",Thermocouples are mainly used to measure exhaust gas temperatures of engines,"Thermocouples are used to measure temperatures (temperature range from−200° C to 2300° C). In aviation, thermocouples are mainly used to measure exhaust gas temperatures of engines."
"266. When exposed to sunlight, solar cells can produces a voltage of",0.6V,10V,60V,0.6V
267. A primary cell,Can be recharged,Cannot be recharged,Can be recharged but in a few times,Cannot be recharged
268. The voltage of a secondary cell is,Determined by the active materials on the plates,Determined by the number of plates,Determined by the area of the plates,Determined by the active materials on the plates
269. Lead Batteries can be recharged by using,AC current,DC current,Both AC current and DC current,DC current
270. What is the main advantage of connecting power sources in series?,Increase induction,Increase the voltage,Increase the resistance,Increase the voltage
271. How batteries are connected to constantly remain voltage?,Series,Parallel,Perpendicular,Parallel
272. The rated voltage of lead battery cell is,4V,5V,2V,2V
273. Ohm's law states that,Voltage= current divided by resistance,Resistance= current divided by voltage,Current= voltage divided by resistance,Current= voltage divided by resistance
274. The resitance given by Ohm's Law,Does not depend on the voltage applied,Depends on the current applied,Depends on voltages and currents applied,Does not depend on the voltage applied
275. If the resistance of an electrical circuit is increased,The current will increase,The voltage will increase,The voltage will decrease,The current will increase
276. If the voltage across a resistor is doubled,The current is halved,The current is doubled,The current is tripled,The current is doubled
"277. If voltage is 100V, resistance is 25 ohms, what is the current?",2A,1A,4A,4A
278. Two resistors are connected in series and have an voltage of V volts across them. If the voltages across the resistances are V1 and V2 then by Kirchhoff's law,V= V1+V2,V= V1-V2,V=V1=V2,V= V1+V2
279. Using Ohm's law,Current is directly proportional to the voltage,Current is inversely proportional to the resistance,Resistance directly proportional to the voltage,Current is directly proportional to the voltage
280. What is the potential difference of a circuit which has a 40mA current and a 1 kilo-ohm resistance?,40V,400V,4000V,40V
281. The current flowing through a circuit can be increased to four times its original value by,Doubling the applied voltage and doubling the resistance,Doubling the applied voltage and halving the resistance,Halving the applied voltage and halving the resistance,Doubling the applied voltage and halving the resistance
282. In the circuit shown the 24 volt battery has the ammeter indicates a current of 12 amperes. The value of the load resistance is.,2 ohms,4 ohms,8 ohms,2 ohms
