Question,Option A,Option B,Option C,Option D,Correct Answer
What is presented by letter E in SHELL model?,Environment,Entertainment,Efficiency,,Environment
State some of hardware deficiency in SHELL model,"Extreme temperature, excessive noise","Inappropriate equipment, poor aircraft design for maintainability","Shorted of man power, lack of supervision",,"Inappropriate equipment, poor aircraft design for maintainability"
What is “Murphy’s law”?,"If something can go wrong, it will","If something wrong, it can be corrected","If some thing can not go wrong, it will",,"If something can go wrong, it will"
What is the aim of Human factors,Define the methods to find out and punish the rule violated person,Find the human errors and correct them,"Optimize human performance within a system by contributing to the planning, design, and evaluation of tasks, jobs, products, organizations, environments and systems in order to make them compatible with the needs, abilities, and limitations of people",,"Optimize human performance within a system by contributing to the planning, design, and evaluation of tasks, jobs, products, organizations, environments and systems in order to make them compatible with the needs, abilities, and limitations of people"
"According to Boeing data, the primary causes of accidents are","Flight crew, Airplane, Maintenance","Flight crew, Weather only",Maintenance only,,"Flight crew, Airplane, Maintenance"
How many disciplines of human factor?,There are 5 disciplines of human factors,There are 10 disciplines of human factors,There are 15 disciplines of human factors,,There are 10 disciplines of human factors
How many senses of human?,"There are 3 senses: sight, smell and hearing","There are 4 senses: touch, sight, smell and hearing","There are 5 senses: touch, taste, sight, smell and hearing",,"There are 5 senses: touch, taste, sight, smell and hearing"
Long-sightedness caused by the ageing process begin after,The age of 40,The age of 50,The age of 60,,The age of 40
The sense of touch use,Our nose to detect,Our eyes to detect,Our hand to detect,,Our hand to detect
"When a task require a ""sniff check"" in order to determine a system error, you can use",Your eyes,Your nose,Your ears,,Your nose
Which is correct about the power of vision,Older people are often more affected by dazzling than younger ones,Younger people are often more affected by dazzling than older ones,Older people are affected by dazzling as younger ones,,Older people are often more affected by dazzling than younger ones
"What is the hearing range of a healthy, young individual?",From 10Hz to 10.000 Hz,From 20 Hz to 20.000 Hz,From 30Hz to 30.000 Hz,,From 20 Hz to 20.000 Hz
Which factors affect your hearing,Old age,Working pressure,Old age and exposure to excessive noise for long time,,Old age and exposure to excessive noise for long time
The damage to hearing can be expected,Above 100 dB,Above 120 dB,Above 150 dB,,Above 150 dB
"The ""decision generator"" module of information processing uses",Ultra short-term memory and short-tern memory,Short-term memory and long-tern memory,Ultra short-term memory and long-tern memory,,Short-term memory and long-tern memory
The official definition of claustrophobia is:,Abnormal fear of enclosed spaces,Abnormal fear of enclosed people,Abnormal fear of enclosed height,,Abnormal fear of enclosed spaces
What is Peer Pressure?,Pressure created by managers,Pressure created by Stress,"Pressure which one may feel, to conform to what he believes that his colleagues expect",,"Pressure which one may feel, to conform to what he believes that his colleagues expect"
Motivation is,A reward or punishment designed to reduce errors,The thing that drives someone to do something,A reward or punishment designed to increase work rate,,The thing that drives someone to do something
A person can be said to be motivated if,They cut corners to get the job done quickly,They are on a productivity bonus,They are taking action to achieve something,,They are taking action to achieve something
What should you do if you are the team leader?,Ask everybody follow your opinion because you are the best,Listen to everybody to make yourself better,Always follow your rules,,Listen to everybody to make yourself better
What should you do if you are the team member?,Always follow team leader instruction,Said what you think is the best for the work to be carried out safely,Ask everybody to follow your opinion,,Said what you think is the best for the work to be carried out safely
Which factors affect human performance?,"Fitness, stress, workload, shiftwork, medication, fatigue, sleep.","Fitness, stress, time pressure, workload, shiftwork, medication.","Fitness, stress, time pressure, workload, shiftwork, medication, fatigue, sleep.",,"Fitness, stress, time pressure, workload, shiftwork, medication, fatigue, sleep."
