Question,Option A,Option B,Option C,Option D,Correct Answer
The smallest part of an element is:,A compound,An atom,A molecule,,An atom
What do you get when you add 2H2 and O2?,2H2O,2HO2,2H2O2,,2H2O
A positive ion:,Has extra electrons,Has number of protons difference with number of neutrons,Has missing electrons,,Has missing electrons
The nucleus of an atom contains:,Protons and electrons,Protons and neutrons,Electrons and neutrons,,Protons and neutrons
The atomic mass number is the number of.,Protons plus electrons,Neutrons plus electrons,Protons plus neutrons,,Protons plus neutrons
Which statement is the best correct?,Each vector consists of Direction,Each vector consists of Intensity,Each vector consists of Direction and intensity,,Each vector consists of Direction and intensity
"In physics, which below scalars have no direction?","Mass, time, force","Mass, temperature, force","Mass, time and temperature",,"Mass, temperature, force"
"Two forces work on an object on the same time, when the result should be calculated, you need:",Angle of vector only,Length of vector only,Angle and length of vector,,Angle and length of vector
The center of gravity is depend on:,The form of a body,The mass of a body,The density of a body,,The form of a body
Stress is show as:,Ratio of body Weight to Area of applied Force,Ratio of External Force to Area of applied Force,Ratio of External Force to Area of body Surface,,Ratio of External Force to Area of applied Force
"When a hammer has contacted Area 0.01m² applying a Force 10 Newton applying to a table, how many Stress acts on the table?",100 Pa,1000 daN,1000 Pa,,1000 Pa
Basic structural stresses to aircraft are:,"Tension, compression, torsion","Shear, bending, tension","Tension, compression, torsion, shear and bending",,"Tension, compression, torsion"
Which statement is the best correct?,Unit for tensile stress is Lb/in²,Unit for tensile stress is N/m,Units for tensile stress are: Lb/in² or N/m²,,Units for tensile stress are: Lb/in² or N/m²
Calculate compression stress on cross section Area 0.5m² with Force perpendicular to area 150N.,75N/m²,300N/m²,300N.m,,300N/m²
Which is the Force required on wrench handle with length 10 in to produce a torque of 300 in.lbf?,30 lbf,3000 lbf,300 lb,,30 lbf
Which is the Force required on torque wrench handle with length 15 in and extension with length 5 in to produce a torque of 300 in.lbf?,25 lbf,20 lbf,15 lb,,15 lb
All matters exists in which states?,"Solid, Liquid or Gas",Liquid or Gas,"Solid, Liquid or Lava",,"Solid, Liquid or Gas"
"When 5 MPa (725 psi) of fluid pressure is supplied to a cylinder with a piston area of 10 cm2, how many Force is generated?",7250 N,5000 N,2000 N,,5000 N
"A cylinder has a piston surface area 4 in² on the side without rod. When 1,000 psi of pressure is applied. How many force is produced?",4000 lbs,400 lbs,4000 N,,4000 lbs
"A cylinder has a piston surface area 4 in² on the side with rod, rod area 1 in².When 1,000 psi of pressure is applied. How many force is produced?",4000 lbs,3000 lbs,3000 N,,3000 lbs
"A block of wood of volume 2 ft³ in ocean water, density of ocean water is 64.4 lb/ft³. Find the Buoyancy Force acts on this block.",32.2 lb.ft,32.2 lb,128.8 lb,,128.8 lb
An aircraft flies 1350 nmiles in 2h 15mins. What is the average speed?,600 nmiles/hour,400 nmiles/hour,150 nmiles/hour,,600 nmiles/hour
An aircraft travels at 500 km/hr for 30 minutes at steady speed. How far does it move in that time?,500 km,1000 km,250 km,,250 km
An object travels 18 km in 1 minute 30 seconds. What is its average speed?,270 m/s,200 m/s,250 m/s,,200 m/s
What is acceleration?,Rate of change of velocity,Rate of change of movement,Rate of change of position,,Rate of change of velocity
A car travelling at a speed of 5 m/s accelerates at the rate of 1 m/s². How long will it take to reach a speed of 20 m/s?,15 secs,10 secs,20 secs,,15 secs
How long will it take a car moving at 60 km/hr to travel 90 km?,40 minutes,75 minutes,90 minutes,,90 minutes
A cyclist goes from rest to 50 m/s in 5 seconds. What is the average acceleration?,10 m/s²,12 m/s²,14 m/s²,,10 m/s²
"A body travelling at 20 m/s accelerates to 36 m/s in 8 seconds, what is its acceleration?",8 m/s²,4 m/s²,2 m/s²,,2 m/s²
"For the acceleration caused by the earth’s gravity, standard gravity is defined as follows:","G = 9,01 m/s²","G = 9,81 m/s²","G = 8,91 m/s²",,"G = 9,81 m/s²"
A ball is dropped from rest. What is its speed after 4 seconds?,Approximate 80 m/s,Approximate 40 m/s,Approximate 60 m/s,,Approximate 40 m/s
A body started from rest and has been falling freely for 3 seconds. At what speed is it falling?,Approximate v = 19 m/s,Approximate v = 29 m/s,Approximate v = 39 m/s,,Approximate v = 29 m/s
Which statement is the best correct?,"When things fall to earth, terminal velocity of things depend on: Mass, drag and height of things","When things fall to earth, terminal velocity of things depend on: Mass and height of things","When things fall to earth, terminal velocity of things depend on:Mass and drag of things",,"When things fall to earth, terminal velocity of things depend on: Mass, drag and height of things"
The centrifugal force is caused by:,The inertia of a rotating body,The inertia of a straight line moving body,The inertia of a linear moving body,,The inertia of a rotating body
"For circular motion, centripetal force can be calculated by:",(Mass x Velocity)/Radius,(Mass x Velocity²)/Radius,(Mass x Velocity²)/Diameter,,(Mass x Velocity²)/Radius
"For circular motion, with tangential velocity = 10m/s, mass = 5kg, radius = 0.1m, the centrifugal force is:",5N,15N,0.5N,,5N
Which statement is the best correct?,"When things fall to earth, terminal velocity of things depend on: Mass, drag and height of things","When things fall to earth, terminal velocity of things depend on: Mass and height of things","When things fall to earth, terminal velocity of things depend on:Mass and drag of things",,"When things fall to earth, terminal velocity of things depend on: Mass, drag and height of things"
Which frequencies must aircraft designers take into account when designing aircraft structure?,Vibration frequencies,Resonant frequencies,Harmonic frequencies,,Resonant frequencies
"What are purposes of gear in clocks and watches, in automobiles and aircraft?",Used to gain mechanical advantage,Used to change the direction of movement,"Used to gain mechanical advantage, or to change the direction of movement.",,"Used to gain mechanical advantage, or to change the direction of movement."
The actual mechanical advantage (AM,The ratio of the output force to the input force,The ratio of the input force to the output force,The subtraction of the output force to the input force,,The ratio of the output force to the input force
A worker is able to raise a body weighing 150 N by applying a force of 75 N. What is the AMA of the machine that he is using?,3,2,4,,2
The mass of an object is described as:,The amount of matter in an object,Is constant regardless of its location,The amount of matter in an object and is constant regardless of its location,,The amount of matter in an object and is constant regardless of its location
Acceleration of Gravity on earth is:,9.8 m/s²,32.2 ft/s²,9.8 m/s² or 32.2 ft/s²,,9.8 m/s² or 32.2 ft/s²
5 US pounds equal:,2.268 kg,2.505 kg,2.785kg,,2.268 kg
Formula of Force is:,Force = Mass x Speed,Force = Mass x Acceleration,Force = Mass x Gravity,,Force = Mass x Acceleration
Which below statement is correct?,"The jet has a greater mass, it has a greater resistance to change its state of rest to motion.","The jet has a greater mass, it has the same resistance to change its state of rest to motion.","The jet has a greater mass, it has a less resistance to change its state of rest to motion.",,"The jet has a greater mass, it has a greater resistance to change its state of rest to motion."
Weight is defined as:,The gravitational push of the earth on a given body,The gravitational pull of the earth on a given body,The gravitational pull of the earth on a given surface,,The gravitational pull of the earth on a given body
Formula of Weight is:,Weight = Mass x Gravity,Weight = Mass x Height,Weight = Density x Gravity,,Weight = Mass x Gravity
"A body has a mass of 50 kg, how weight is it? Gravity is 9.81",490.5 N.m,490.5 N,490.5 Lbs,,490.5 N
"A box has a mass of 250 kg, how weight is it? Gravity is 9.81","2,452.5 N","2,400 N","3,400 N",,"2,452.5 N"
A force 15 daN equals:,1500 N,150N,"1,5N",,150N
How many kinds of friction?,"There are 3 kinds: starting friction, sliding friction and rolling resistance",There are 2 kinds: starting friction and rolling resistance,"There are 3 kinds: starting friction, linear friction and rolling resistance",,"There are 3 kinds: starting friction, sliding friction and rolling resistance"
The friction formula is:,Friction = (Coefficient of Friction) x Mass,Friction = (Coefficient of Friction) x Weight,Friction = (Coefficient of Friction) x Acceleration,,Friction = (Coefficient of Friction) x Weight
A steel body weighing 450 N is resting on a horizontal steel surface. How many newtons of force are necessary to start the body sliding? Know that the Coefficient of starting friction is 0.15,60 N,86 N,68N,,68N
A steel body weighing 450 N is resting on a horizontal steel surface. What force is necessary to keep this body sliding at constant speed? Know that the Coefficient of sliding friction is 0.09,41 N,45 N,55 N,,41 N
What is the formula of work?,Work = Force x Velocity,Work = Force x Acceleration,Work = Force x Distance,,Work = Force x Distance
What is the Unit of Work?,Joule (J),Watt (W),Newton (N),,Joule (J)
Calculate the work done by a man of mass 30 kg in climbing a ladder 2 m high (acceleration of gravity is 9.81 m/s²),588.6 Joules,588.6 Newtons,588.6 Watts,,588.6 Joules
Calculate the work done by a man of mass 65 kg in climbing a ladder 4 m high (acceleration of gravity is 9.81 m/s²),"3,548 Joules","2,550.6 Joules","2,348 Joules",,"2,550.6 Joules"
An object with a force of 600 Newton is moved a distance of 30 meters. How many is the work?,18.000 Joules,1.800 Joules,2.000 Joules,,18.000 Joules
What is the Unit of Power?,Joule (J),Watt (W),Newton (N),,Watt (W)
10 Watts is equal:,10 J/s,10 N/s,10 kg/s,,10 J/s
How many Power for the object with a force of 600 Newton is moved a distance of 30 meters in 10 seconds?,180 W,"18,000 W","1,800 W",,"1,800 W"
What is the formula of power?,Power = Work/Time,Power = Work/Distance,Power = Work/Gravity,,Power = Work/Time
Newton's First Law is:,A body at rest remains at rest and a body in motion continues to move at a constant velocity unless acted upon by an unbalanced external force,A body at rest remains at rest and a body in motion continues to move at a constant velocity unless acted upon by an balanced external force,A body at rest remains at rest and a body in motion continues to move at a constant velocity without external force,,A body at rest remains at rest and a body in motion continues to move at a constant velocity unless acted upon by an unbalanced external force
Newton’s Second Law is:,The rate of change of momentum of a body is proportional to the applied force and takes place in the direction in which the force acts,The rate of change of momentum of a body is inversely proportional to the applied force and takes place in the direction in which the force acts,The rate of change of momentum of a body is not related to the applied force and takes place in the direction in which the force acts,,The rate of change of momentum of a body is proportional to the applied force and takes place in the direction in which the force acts
Formula of Newton’s Second Law is:,Force = Weight . Acceleration (F = W.a),Force = Mass . Acceleration (F = m.a),Force = Mass . Velocity (F = m.v),,Force = Mass . Acceleration (F = m.a)
"A body has mass 50 kg, how many Force needs for moving it with acceleration 5 m/s²? Assume that friction is Zero and gravity is 9.81 m/s²","F = 2,052.5 N","F = 2,252.5 N","F = 2,452.5 N",,"F = 2,452.5 N"
Newton’s Third Law is:,Every action has an equal and opposite reaction,Every action has an opposite reaction and can not determine,Every action has an opposite reaction and equal 2 times of this reaction,,Every action has an equal and opposite reaction
Energy is defined as:,The “Capacity to Accelerate”,The “Capacity to do Work”,The “Capacity to Decelerate”,,The “Capacity to do Work”
Formula for Kinetic Energy (Ek) is:,Ek = 1/2 (Mass . Velocity²),Ek = 1/2 (Mass . Acceleration²),Ek = 1/2 (Mass . Force²),,Ek = 1/2 (Mass . Velocity²)
Calculate Kinetic Energy of matter has Mass = 5kg and Velocity = 2m/s,Ek = 30 (J),Ek = 20 (J),Ek = 10 (J),,Ek = 10 (J)
A body of mass 10 kg falls to the earth from a height of 300m above the surface of the earth. How many Potential Energy of this body? Gravity is 9.81 m/s²,"26,430 (J)","20,430 (J)","29,430 (J)",,"29,430 (J)"
Thermodynamic Temperature Unit is:,Kelvin,Joule,Joule/second,,Kelvin
What is the efficiency of energy conversion?,The ratio between the output into a mechanism and the useful input of the mechanism,The ratio between the input into a mechanism and the useful output of the mechanism,The different between the input into a mechanism and the useful output of the mechanism,,The ratio between the input into a mechanism and the useful output of the mechanism
The formula for efficiency is as follows:,Ŋ = Pout/Pin,Ŋ = Fout/Fin,Ŋ = Tout/Tin,,Ŋ = Pout/Pin
"A machine has Power output = 100 Watts, The Efficiency is 80%. How many Power is lost?",Ploss = 15 W,Ploss = 35 W,Ploss = 25 W,,Ploss = 25 W
Gyroscopic are used to detect:,"Turns around the x, y or z axis of an aircraft",Turns around the only z axis of an aircraft,Turns around the x or z axis of an aircraft,,"Turns around the x, y or z axis of an aircraft"
A matter has mass 500 kg and velocity 5 m/s. How many Momentum Quantity,Momentum = 2500 kg.m/s,Momentum = 2000 kg.m/s,Momentum = 1000 kg.m/s,,Momentum = 2500 kg.m/s
How is Specific Gravity calculated?,Specific gravity is calculated by comparing the weight of a definite volume of substance with the weight of an equal volume of alcohol,Specific gravity is calculated by comparing the weight of a definite volume of substance with the weight of an equal volume of water,Specific gravity is calculated by comparing the weight of a definite volume of substance with the weight of an equal volume of mercury,,Specific gravity is calculated by comparing the weight of a definite volume of substance with the weight of an equal volume of water
