Question,Option A,Option B,Option C,Option D,Correct Answer
Where would you find the authority and responsibility of the Pilot in command?,VAR Part 7,VAR Part 9,VAR Part 5,VAR Part 10,VAR Part 10
Vietnamese AOC holder only operates a two-engined aeroplane over a route which contains a point further from an adequate aerodrome than the distance flown in 60 minutes at the one- engine-inoperative cruise speed in case:,the holder receives special approval by CAAV known as EDTO approval,the holder assesses and determines to operate without the approval of CAAV,even when the ETOPS approval is elapse,it is not applied to aircraft registered in Vietnam,the holder receives special approval by CAAV known as EDTO approval
A foreign registered aircraft can be operated in the airspace of Vietnam if,the owner has made written notification to CAAV for the required information.,the owner has made written notification to CAAV for the required information and received flight permission from CAAV.,All foreign registered aircrafts can be operated in the airspace of Vietnam with no additional condition.,All foreign registered aircrafts can not be operated in the airspace of Vietnam.,the owner has made written notification to CAAV for the required information and received flight permission from CAAV.
The 'Threshold Time' approved by CAAV for an aircraft diverting from point on a route to a suitable alternate aerodrome is,90 minutes,60 minutes or a threshold time approved by the CAAV .,120 minutes.,180 minutes.,60 minutes or a threshold time approved by the CAAV .
A Vietnam registered aircraft with inoperative required instruments or equipment,must not be operated,may be operated only under a special flight permit issued by CAAV.,may be operated without the permission of CAAV,may be operated if records identifying the inoperative instruments and equipment shall be handed to the pilot,may be operated only under a special flight permit issued by CAAV.
Additional documents applicable to international flights includes,An aircraft radio licence and an English translation noise certificate,General declaration for customs and original noise certificate (without translation into English),An aircraft radio licence only,No requirements,An aircraft radio licence and an English translation noise certificate
The additional requirements for international operations:,"the flight crew shall include at least one member who has a valid radio operator licence or endorsement, issued or rendered by the State of Registry",the flight crew shall include at least one member who holds a flight navigator licence,all crew members have valid medical certificate,the same as for national operations.,"the flight crew shall include at least one member who has a valid radio operator licence or endorsement, issued or rendered by the State of Registry"
Airworthiness certificate operational restrictions contained in,AMS,AMM,MEL,AFM,AFM
Record of emergency and survival equipment carried on aircraft shall include,Type and frequencies of radio equipment,"Number, colour and type of life rafts and pyrotechnics, details of emergency medical supplies, Water supplies, and type and frequencies of the emergency portable radio equipment.",Type of life rafts and pyrotechnics,As requested by crew member,"Number, colour and type of life rafts and pyrotechnics, details of emergency medical supplies, Water supplies, and type and frequencies of the emergency portable radio equipment."
"For ELT-equipped aircraft operation, it is required to be",checked within the past 24 calendar months,checked within the past 06 calendar months,checked within the past 12 calendar months,checked within the past 36 calendar months,checked within the past 12 calendar months
"For IFR (Instrument Flight Rules) operation, an altimeter and pitot-static system is required to be inspection",in the past 12 calendar months,in the past 24 calendar months,in the past 36 calendar months,in the past 06 calendar months,in the past 24 calendar months
A decision height of CAT I approach and landing is not lower than,60 m (200ft).,40 m (130ft).,30 m (100ft).,50 m (160ft),60 m (200ft).
A decision height of CAT II approach and landing is,30m (100ft) or less.,60m (200ft) or more.,60m (200ft) or less.,lower than 60m (200ft) but not lower than 30m (100ft),lower than 60m (200ft) but not lower than 30m (100ft)
