Question,Option A,Option B,Option C,Correct Answer
2087. What is the term FADEC abbreviation for?,"FADEC is an abbreviation for ""Full Authory Digital Engine Control""","FADEC is an abbreviation for ""Function of Authory Digital Engine Control""","FADEC is an abbreviation for ""Full Automatic Digital Engine Control""","FADEC is an abbreviation for ""Full Authory Digital Engine Control"""
2088. Which has FADEC system full authority over?,FADEC system has full authority over the engine control functions,FADEC system has full authority over the engine monitor functions,FADEC system has full authority over the engine indication functions,FADEC system has full authority over the engine monitor functions
2089. What is the second main component of the FADEC system?,The second main component of the FADEC system is the fuel metering unit (FMU),The second main component of the FADEC system is the fuel control unit (FCU),The second main component of the FADEC system is the fuel pump,The second main component of the FADEC system is the fuel metering unit (FMU)
2090. What does ECU perform?,It performs full power management for all operating conditions,It gives optimum thrust control for all operating conditions,It performs full power management and gives optimum thrust control for all operating conditions,It performs full power management and gives optimum thrust control for all operating conditions
2091. Which systems does ECU NOT control?,Flap/Slat system,Thrust reverser system,Compressor stall protection system,Flap/Slat system
2092. What does a typical FADEC system have?,"An electronic control unit, a fuel metering unit","Many electrical sensors on the engine, many control possibilities for other engine sub systems","An electronic control unit, a fuel metering unit, many electrical sensors on the engine, many control possibilities for other engine sub systems","An electronic control unit, a fuel metering unit, many electrical sensors on the engine, many control possibilities for other engine sub systems"
2093. What is the purpose of EIUs?,EIUs transmit the data between the FMU system and the aircraft,EIUs transmit the data between the FADEC system and the aircraft,EIUs transmit the data between the engine sensors and the aircraft,EIUs transmit the data between the FADEC system and the aircraft
2094. How many channel does ECU have?,ECU has 2 channel A and B,ECU has only 1 channel,ECU has 2 channel X and Y,ECU has 2 channel A and B
2095. What does each channel of the ECU receive?,Each channel of the ECU receives individual signals from the aircraft and from the engine sensors,Each channel of the ECU receives individual signals from the engine sensors,Each channel of the ECU receives individual signals from the aircraft,Each channel of the ECU receives individual signals from the aircraft and from the engine sensors
2096. How does ECU receive the pneumatic signal?,The ECU receives the pneumatic signals via electrical pressure sensor from the engine,The ECU receives the pneumatic signals via pressure sense lines from the engine,The ECU receives the pneumatic signals via pressure sensor from the engine,The ECU receives the pneumatic signals via pressure sense lines from the engine
2097. What are the air pressure converted into?,The air pressures are converted into electrical signals by pressure transducers inside the ECU,The air pressures are converted into analog signals by pressure transducers inside the ECU,The air pressures are converted into digital signals by pressure transducers inside the ECU,The air pressures are converted into digital signals by pressure transducers inside the ECU
2098. Which can electrical signal to ECU be?,Analog signals or digital signals,Analog signals,Digital signals,Analog signals or digital signals
2099. What can we split ECU into?,Power management section and a governing and limiting section,Power management section and a governing,Power management section and a limiting section,Power management section and a governing and limiting section
2100. What does the power management calculate thrust command base on?,"Ambient air temperature, pressure such as T12 and Ps12","The thrust lever angle, pressure such as T12 and Ps13","The thrust lever angle, ambient air temperature, and pressure such as T12 and Ps14","The thrust lever angle, ambient air temperature, and pressure such as T12 and Ps14"
2101. Which does the power management use for information about the aircraft speed?,Air speed with Knot unit,Mach number,Airspeed with Km/h unit,Mach number
2102. What does the thrust rating plug make sure?,The ECU controls the engine to the correct maximum take-off thrust,The ECU controls the engine to the correct minimum idle thrust,The ECU controls the engine to the correct reverser idle thrust,The ECU controls the engine to the correct maximum take-off thrust
2103. Which signals does the power management section transmit to governing and limiting section?,This signal is a N1 command signal,This signal is a EPR command signal,This signal is either a N1 command signal or a EPR command signal,This signal is either a N1 command signal or a EPR command signal
2104. What are the main component of FMU?,"The fuel metering valve, the bypass valve, the HP shut-off valve, and a servo valve with a torque motor","The HP shut-off valve, and a servo valve with a torque motor","The fuel metering valve, the bypass valve","The fuel metering valve, the bypass valve, the HP shut-off valve, and a servo valve with a torque motor"
2105. What is the purpose of torque motor inside FMU?,The torque motor receives control signals from the engine interface unit to move the fuel metering valve,The torque motor receives control signals from the electronic control unit to move the fuel metering valve,The torque motor receives control signals from the FMU to move the fuel metering valve,The torque motor receives control signals from the electronic control unit to move the fuel metering valve
