Question,Option A,Option B,Option C,Option D,Correct Answer
Thrust force is measured in,N (Newton),KN (kilo Newton),Both N and kN,,Both N and kN
Which engine sections use nickel base alloys as main material,"Pressure compressor, combustion section, high and low pressure turbines","Pressure compressor, combustion section and low pressure turbines","Pressure compressor, combustion section and high pressure turbines",,"Pressure compressor, combustion section, high and low pressure turbines"
One disadvantage of turbojet engines is,Use more fuel,Very loud,Only use on small A/C,,Very loud
"In Principles of Jet Propulsion, to accelerate air, the air pressure must be",Decreased,Increased,Remain constant,,Increased
How many main environmental parameters that cause a change in the thrusts of a jet engine,4,3,5,,4
If the airflow is constant and you decrease the diameter of the jet nozzle,The outlet velocity does not change,The outlet velocity decrease,The outlet velocity increase,,The outlet velocity increase
The thrust is generated by,Pushing against the atmosphere,Acceleration of airflow,Acceleration of airflow and pushing against the atmosphere,,Acceleration of airflow
With increasing altitudes,The ambient pressure decreases and the temperature decreases,The ambient pressure decreases and the temperature increases,The ambient pressure increases and the temperature decreases,,The ambient pressure decreases and the temperature decreases
There was no engine compressor before 1937 due to,There was no one can invent it,There was no material that was heat-resistant enough for continuous combustion.,The engine without compressor has better performance,,There was no material that was heat-resistant enough for continuous combustion.
Turboprop engines do not use on large A/C due to,This engine is very loud,This engine is not efficient,It's hard to manage the rotation speed of propeller,,It's hard to manage the rotation speed of propeller
"On modern turbofan engines the bypass ratio is between 4:1 and 9:1, that means the fan can produce more than 80% to …% of the total thrust",0.9,0.7,0.95,,0.9
"If the velocity of the air at the engine inlet increases, thrust force would be",Stay the same,Increased,Decreased,,Decreased
"The higher the altitude, the…of the thrust a jet engine can produce",More,Less,Equal,,Less
The reduction gear is used on turboprop engine for what purpose?,Reduce speed of propeller,Increase speed of propeller,Maintain speed of propeller,,Reduce speed of propeller
The fans of turbofan engine are always driven by,A turbine via two drive shafts,A compressor via a drive shaft,A turbine via a drive shaft,,A turbine via a drive shaft
Which engine has the greatest bypass ratio?,Turbofan engine,Propfans engine,Turbojet engine,,Propfans engine
Bernoulli's Theorem states that at any point in a flow of gas.,The static pressure and dynamic pressure are equal.,The static pressure is less than the dynamic pressure.,The total energy remains constant.,,The total energy remains constant.
Which factors are NOT important for the combustion process?,Minimum decrease in pressure,Maximum increase of energy,Minimum decrease fuel consumption,,Minimum decrease fuel consumption
The primary function of the turbine,Supply the torque which is necessary to drive the compressor,Increases the pressure of the incoming air,Increases the velocity of the incoming air,,Supply the torque which is necessary to drive the compressor
The fuel air mixture is burned in the combustion chamber,"The temperature, the volume of the air increases and the air pressure stays almost constant.","The pressure, the volume and the temperature of the air increases","The temperature, the pressure of the air increases and the volume stays almost constant.",,"The temperature, the volume of the air increases and the air pressure stays almost constant."
The term Pt5 means.,The total pressure at station No.5.,Pressure and temperature at station No.5.,The total inlet pressure outlet No.5,,Pressure and temperature at station No.5.
The external efficiency of engine mainly depends on,The aircraft speed and the exhaust gas pressure,The aircraft speed and the exhaust gas velocity,The aircraft speed and the exhaust gas temperature,,The aircraft speed and the exhaust gas velocity
A flat rated engine gives a constant thrust at,All ambient conditions below this flat rate temperature.,All ambient conditions above this flat rate temperature.,All ambient conditions,,All ambient conditions below this flat rate temperature.
Which parameters are the engines used to measure the thrust?,The engine pressure ratio or the RPM,The engine pressure ratio or the engine burn temperature,The engine fuel flow or the RPM,,The engine pressure ratio or the RPM
The term thrust specific fuel consumption (TSF,The amount of fuel which an engine used at 100% speed for 1hour.,The amount of fuel which an engine used at idle speed for 1hour.,The amount of fuel which an engine needs to make 1kN of thrust for 1hour.,,The amount of fuel which an engine needs to make 1kN of thrust for 1hour.
The equation shows that 1lb of thrust equals 1 thrust horsepower (THP) at a speed of,At a speed of 175mph,At a speed of 275mph,At a speed of 375mph,,At a speed of 375mph
The engine air intake has:,The shape divergent,The shape convergent,The shape constant.,,The shape divergent
This design employs an external oblique shock wave in supersonic engine inlet for,Increase the supersonic airflow before the normal shock occurs.,Slow the supersonic airflow before the normal shock occurs.,Prevent the shock occurs.,,Slow the supersonic airflow before the normal shock occurs.
The engine anti −ice system also uses,The hot air comes from either the pneumatic system or directly from the engine,Electrical heating mats on lips skin panel.,The hot air comes from directly from the engine only.,,The hot air comes from either the pneumatic system or directly from the engine
You can lock the wing anti −ice valves,In the opened position only,In the closed position only,In the closed or opened position,,In the closed position only
The engine anti −ice valves you can lock,In the opened position only,In the closed position only,In the closed or opened position,,In the closed or opened position
The wing anti−ice valves,Close automatically when the aircraft lands.,Open when the wing anti−ice pushbutton pushed ON anytime.,Fail safe at open position.,,Close automatically when the aircraft lands.
Which two elements make up the axial flow compressor assembly?,Rotor and stator.,Stator and diffuser.,Compressor and manifold.,,Rotor and stator.
What is meant by a compressor stage?,One rotor and one stator assembly.,All rotors and stators.,One rotor and one guide vane assembly.,,One rotor and one stator assembly.
The ring of fixed blades at the intake of an axial flow compressor are called.,Inlet guide vanes.,First stage stator blades.,First stage diffuser blades.,,Inlet guide vanes.
The main components of a centrifugal flow compressor are:,"The rotor, the stator and the guide vane assembly.","The rotor, the stator and the compressor manifold.","The impeller, the diffuser and the compressor manifold.",,"The impeller, the diffuser and the compressor manifold."
The velocity of the airflow through the compressor will be?,increased,Decreased,Kept constantly,,Kept constantly
Axial flow and centrifugal flow compressors have their own specific advantages and disadvantages. Which following statement is NOT correct?,Centrifugal flow compressors have a very high pressure rise per stage.,Axial flow compressors have a good efficiency over a wide speed range.,Engines with axial flow compressors cause less drag than engines with centrifugal flow compressors,,Axial flow compressors have a good efficiency over a wide speed range.
The compression ratio of an axial flow compressor is a function of the.,Number of compressor stages.,Air inlet velocity.,Rotor diameter.,,Number of compressor stages.
The used of bleed valves to avoid engine stall and surge.,In the mid section and sometimes in the aft section of the engine compressor,In the mid section and sometimes in the aft section of the engine turbine,In the mid section and sometimes in the forward section of the engine compressor,,In the mid section and sometimes in the aft section of the engine compressor
The advantage of the variable stator vanes,Optimum velocity of airflow on the following rotor blades,Optimum angle of attack on the following rotor blades,Optimum pressure of airflow on the following rotor blades,,Optimum angle of attack on the following rotor blades
For basic compressor control the main engine control (ME,The core engine speed N2 and the compressor inlet pressure.,The compressor outlet temperature COT and the compressor inlet temperature CIT.,The core engine speed N2 and the compressor inlet temperature CIT.,,The core engine speed N2 and the compressor inlet temperature CIT.
The variable stator vane actuators operate by,Aircraft hydraulic power.,Engine fuel pressure power.,Electrical motor power.,,Engine fuel pressure power.
The variable stator vanes (VSV) schedule open or close applies for,Air inlet temperature only,Air inlet pressure only,Air inlet temperature and pressure.,,Air inlet temperature only
The FADEC calculates a variable stator vane (VSV) demand signal based on,The actual engine speed and compressor inlet temperature.,The actual engine speed and compressor inlet pressure.,The compressor inlet temperature and pressure.,,The actual engine speed and compressor inlet temperature.
The fan speed of a twin spool axial compressor engine is the same as the.,Low pressure compressor.,Forward turbine wheel.,High pressure compressor.,,Low pressure compressor.
The non-rotating axial-flow compressor airfoils in an aircraft gas turbine are known as.,Stator vanes.,Bleed vanes.,Pressurization vanes.,,Stator vanes.
What is used to aid in stabilization of high compressor airflow?,Variable stator vanes and/or compressor bleed valves.,Pressurization and dump valves.,Stator vanes and rotor vanes.,,Variable stator vanes and/or compressor bleed valves.
Combustion chamber flame temperature is in the order of.,2000°Centigrade.,2000°Fahrenheit.,2000°K.,,2000°Centigrade.
The flame tube of annular combustion chamber has major parts:,"The air supply duct, the inner liner and the outer liner.","The casing, the inner liner and the outer liner.","The dome, the inner liner and the outer liner.",,"The dome, the inner liner and the outer liner."
What is a can-annular combustion system?,One common flame tube closed in a common air casing.,"A set of flame tubes, each mounted in a separate air casing.","A set of flame tubes, enclosed in a common air casing.",,"A set of flame tubes, enclosed in a common air casing."
The primary conditions are necessary for correct and safe combustion are:,"The ratio of air and fuel, the airflow pressure.","The ratio of air and fuel, the airflow velocity.",The ratio of air and fuel. the airflow temperature.,,"The ratio of air and fuel, the airflow velocity."
The mainly airflow which comes from the compressor to combustion is,"The primary airflow,",The secondary airflow.,The burned airflow.,,The secondary airflow.
The airflow that comes from the compressor is decreased by:,"The diffuser, the restrictors and by swirl vanes","The diffuser, the restrictors and by guide vanes","The diffuser, the restrictors and by supply ducts.",,"The diffuser, the restrictors and by swirl vanes"
An air fuel mixture burns best at,A ratio of 15:1,A ratio of 7.5:1,A ratio of 24:1,,A ratio of 15:1
The flame tube is cooled by:,The primary airflow,The secondary airflow,Cooling air system.,,The secondary airflow
A thin coating of ceramic material on the inner surface of the flame tube for,Strengthen the inner liner.,Seal air from the inner liner.,Protect the inner line against heat.,,Protect the inner line against heat.
The combustion case has:,"An outer wall, an inner wall and a diffuser.","A inner liner, a outer liner and a diffuser.","An outer wall, an inner wall and a guide vane.",,"An outer wall, an inner wall and a diffuser."
What are the two main basic components of the turbine section in a gas turbine engine?,Stator and rotor.,Hot and cold.,Impeller and diffuser.,,Stator and rotor.
The turbine blades are prevented from corrosion of sulfuric acid by,Using the correct kind of jet fuel.,Using the correct ratio of air fuel mix.,Using the ceramic coating.,,Using the correct kind of jet fuel.
"In convection cooling method, where does the cooling air escapes during cooling the turbine blades",At the leading edges and at the blade tips,At the leading edges and a the trailing edges of blades.,At the trailing edges and at the blade tips,,At the trailing edges and at the blade tips
