Question,Option A,Option B,Option C,Correct Answer
467. Diodes are:,"Conductors,",Semi-conductors,Insulators,Semi-conductors
468. For the intrinsic conductivity of diodes,"At 0 degrees Kelvin, a semiconductor is a non-conductor","At 0 degrees Celsius, a semiconductor is a non-conductor","At 0 degrees Kelvin, a semiconductor is a conductor","At 0 degrees Kelvin, a semiconductor is a non-conductor"
469. A junction diode,Is similar to a vacuum diode but cannot rectify,Has one p-n junction,Can handle only very small currents,Has one p-n junction
"470. In a semiconductor junction diode, electrons are the minority carriers.",Within the P region,Within the N region,In both the N and P regions,Within the P region
471. Forward voltage of a silicon diode is.,1.7V,0.7V,0.3V,0.7V
"472. A silicon diode, when compared to a germanium diode has",Less forward bias voltage,The same forward bias voltage,A higher forward bias voltage,A higher forward bias voltage
473. A germanium diode:,Has the same threshold voltage as a silicon diode,Has a higher threshold voltage than a silicon diode,Has a lower threshold voltage than a silicon diode,Has a lower threshold voltage than a silicon diode
474. Which diode has a lower forward bias voltage?,Silicon,Germanium,Both have the same forward bias voltage,Germanium
475. Single crystal semiconductor diodes consist of,A semiconductive single crystal with a p−zone,A semiconductive single crystal with a n−zone,A semiconductive single crystal with a p−zone and an n− zone,A semiconductive single crystal with a p−zone and an n− zone
"476. In a forward biased diode, electrons leave the",The anode,The cathode,The doped area,The cathode
477. The transformer rectifier unit,Transform DC power to AC power,Transform AC power to DC power with a higher voltage,Transform AC power to DC power with a lower voltage,Transform AC power to DC power with a lower voltage
478. What circuit is based on the one-way rectifier?,Villard circuit,Delon circuit,Cascade circuit,Villard circuit
479. What circuit is also called voltage doubler?,Villard circuit,Delon circuit,Cascade circuit,Delon circuit
480. What is diode clipper?,"A diode based clipper in general consists of a diode, a resistor and a voltage source that provides a reference voltage","A diode based clipper in general consists of a diode, a capacitor and a voltage source that provides a reference voltage","A diode based clipper in general consists of a diode, a conductor and a voltage source that provides a reference voltage","A diode based clipper in general consists of a diode, a resistor and a voltage source that provides a reference voltage"
481. A Zener diode usually works,Only in reverse bias,At variable voltages,Only in forward bias,Only in reverse bias
482. What gives an LED its colour?,A gas,Composition and impurity of the compound,The cover,Composition and impurity of the compound
"483. In an LED, what is used to make the colour?",The plastic lens cover,The electrons,The doping material,The doping material
484. What gives the colour of an LED?,The active element,The plastic it is encased in,The type of gas used inside it,The active element
485. What is the typical volts drop across an LED,0.2V.,0.7V.,1.6V.,1.6V.
486. A diode which emits photons when conducting is a.,"Light emitting,",Varactor,Zener,"Light emitting,"
487. Photodiodes can made from,Silicon,Germanium,Silicon as well as from Germanium,Silicon as well as from Germanium
488. The electrodes of a Thyristor are,"Gate, cathode, anode","Anode, cathode, source","Anode, cathode, neutral","Gate, cathode, anode"
489. A triac is a type of,Thermistor,Transistor,Thyristor,Thyristor
"490. To function, i.e. conduct, a junction diode made of silicon requires a forward bias of at least",0.2 V,1.41 V,1 V,1 V
"491. If forward bias is increased from zero on a p-n junction, a rapid increase in current flow for a relatively small increase in voltage occurs.",When the flow of minority carriers is sufficient to cause an avalanche breakdown,When the depletion layer becomes larger than the space charge area,Only after the forward bias exceeds the potential barrier,Only after the forward bias exceeds the potential barrier
492. When a diode is forward biased the,Positive lead is connected to both N and P type,Positive lead is connected to the P type and negative to the N type.,Positive lead is connected to the N type and negative to the P type,Positive lead is connected to the P type and negative to the N type.
493. The micro diodes are:,Primarily used for electrical power supply devices,Mainly used in communication technology,Used in rectifier circuits for large power outputs,Mainly used in communication technology
494. The rectifier diodes are:,Primarily used for electrical power supply devices,Mainly used in communication technology,Used in rectifier circuits for large power outputs,Primarily used for electrical power supply devices
495. The heavy current diodes are:,Primarily used for electrical power supply devices,Mainly used in communication technology,Used in rectifier circuits for large power outputs,Used in rectifier circuits for large power outputs
496. The anode of a diode is connected to a +4V DC supply and the cathode is connected to a +2V DC supply. The diode is,Forward biased not conducting,Reverse biased not conducting,Forward biased conducting.,Forward biased conducting.
497. When testing the forward bias of a diode with a multimeter,The positive lead of the ohmmeter is placed on the anod,It does not matter which terminal the positive lead of the ohmeter is placed,The positive lead of the ohmmeter is placed on the cathode,The positive lead of the ohmmeter is placed on the anod
498. When checking a diode for reverse bias resistance the positive lead goes to,Anode and negative lead to earth,Cathode and negative lead to anode,Anode and negative lead to cathode,Cathode and negative lead to anode
"499. To check the forward resistance of a diode with a multimeter, the lead connected to the positive terminal is put to the",Anode,Cathode,Either anode or cathode,Anode
500. When a multimeter is set to diodes test position,A serviceable diode will show around 0.7 volts on the multimeter when tested in the forward bias direction and will show the internal voltage of the meter when tested in reverse bias,A serviceable diode will show internal voltage of the meter when tested in the forward bias direction and will show around 0.7 volts on the multimeter when tested in reverse bias,An unserviceable diode will show around 0.7 volts on the multimeter when tested in the forward bias direction and will show the internal voltage of the meter when tested in reverse bias,A serviceable diode will show around 0.7 volts on the multimeter when tested in the forward bias direction and will show the internal voltage of the meter when tested in reverse bias
501. When a multimeter is set to diodes test position,"If a diodes has failed open circuit, it will show the internal voltage of the meter in both forward and reverse bias",If it has failed in the short circuit condition it will show zero (or nearly zero) in both directions,"If a diodes has failed open circuit, it will show the internal voltage of the meter in both forward and reverse bias. If it has failed in the short circuit condition it will show zero (or nearly zero) in both directions.","If a diodes has failed open circuit, it will show the internal voltage of the meter in both forward and reverse bias. If it has failed in the short circuit condition it will show zero (or nearly zero) in both directions."
502. A Z-diode are used for:,Current control,Voltage control,Temperature control,Voltage control
503. A zener diode,Allows current to flow in one direction,Stabilizes voltage at a predetermined level,Stabilizes current at a predetermined level,Stabilizes voltage at a predetermined level
504. A zener diode is designed to operate,Below its breakdown voltage,Either above or below its breakdown voltage,Above its breakdown voltage,Above its breakdown voltage
505. What diode gives off light photons when forward biased,LED,Gunn diode,Photo diode,LED
506. An LED which emits green light uses,gallium arsenide,gallium phosphide,gallium arsenide phosphide,gallium phosphide
507. An LED which emits red light uses,Gallium phosphide,Gallium arsenide,Gallium arsenide phosphide,Gallium arsenide phosphide
508. A photodiode is operated under,Reverse bias conditions,Forward bias conditions,Temperature condition,Reverse bias conditions
509. Which diodes are semiconductors with a P-N-junction that is exposed to light?,Photodiodes,LEDs (Light emitting diodes),Schottky diodes,Photodiodes
510. Which of the following describes the characteristics of a Thyristor?,High voltage handling,High power handling,High current handling,High current handling
511. A thyristor has which of the following?,A positive temperature coefficient,High resistance when switched off,High resistance when switched on,High resistance when switched off
512. A bi-directional TRIAC has two SCRs connected in,Series parallel,Inverse parallel,Parallel series,Inverse parallel
513. The terminal of transistor with an arrow is named,Base,Collector,Emitter,Emitter
514. In a NPN transistor the P is the,Collector,Emitter,Base,Base
515. Which layer of transistor is called the emitter?,First layer,Middle layer,Last layer,First layer
516. A transistor has three terminal are,"Source, Gate, Drain","Emitter, Base, Collector","Source, Base, Drain","Emitter, Base, Collector"
517. Two transistor types are,NPN transistor and PNP transistor,NPP transistor and PPN transistor,NNP transistor and PNN transistor,NPN transistor and PNP transistor
518. A transistor is used as,A fast electronic switch,A regulator for small and medium DC voltages and currents,A fast electronic switch or regulator for small and medium DC voltages and currents,A fast electronic switch or regulator for small and medium DC voltages and currents
519. If the arrow points outside the transistor,It is a NPN transistor,It is a PNP transistor,It is a NPN or PNP transistor,It is a NPN transistor
"520. If the arrow points from emitter to base, the transistor is",NPN transistor,PNP transistor,NPN or PNP transistor,PNP transistor
"521. In a transistor, number of sequential semiconductor layers are",2,3,4,3
522. The Middle layer of transistor is called,Emitter,Base,Collector,Base
523. The Last layer of transistor is called,Emitter,Base,Collector,Collector
524. Number of P-N junctions in a transistor are,1,2,3,2
525. Residual voltage is,The voltage that still flows to a P-N junction when a reverse bias voltage is applied,The voltage that still flows to a P-N junction when a forward bias voltage is applied,The voltage that still flows to a N-P junction when a reverse bias voltage is applied,The voltage that still flows to a P-N junction when a reverse bias voltage is applied
526. The transistors can be used with,Only one circuit,Two different circuit variations,Three different circuit variations,Three different circuit variations
527. The transistor emitter circuit is,The circuit where the emitter is the common reference electrode for the input and output circuits,The circuit where the emitter is the input electrode,The circuit where the emitter is the output electrode,The circuit where the emitter is the common reference electrode for the input and output circuits
529. The transistor collector circuit is,The collector is the input electrode,The collector is the common reference electrode for the input and output circuits,The collector is the output electrode,The collector is the common reference electrode for the input and output circuits
530. The transistor base circuit is,The base electrode is the input electrode,The base electrode is the output electrode,The base electrode is the common reference electrode for the input and output circuits,The base electrode is the common reference electrode for the input and output circuits
"531. When the temperature of the barrier layer is raised from 25 degrees to 150 degrees Centigrade, the residual current in a silicon transistor becomes",2000 times higher,2000 times lower,Remain the same,2000 times higher
532. For germanium. The maximum permissible temperature that the junction can have varies,From 75°C to 90°C,From 150°C to 200°C,From 90°C to 100°C,From 75°C to 90°C
