Question,Option A,Option B,Option C,Correct Answer
1056. What is the base element of ferrous materials?,Steel,Iron,Copper,Iron
1057. Pure iron is:,Very soft,Very hard,Moderate hardness,Very soft
"1058. Compared to aluminum, steel has:",Lower density,Higher density,The same density,Higher density
1059. What are steel grades?,Rating of steel’s usefulness,The cost to make the steel,"The different kinds of steels, distinguished by the specific properties","The different kinds of steels, distinguished by the specific properties"
1060. What type of non-alloyed steel is use on aircrafts?,Construction steel,Carbon steel,Manufacturing steel,Carbon steel
1061. Carbon steel has carbon content around:,0.05 up to 0.5%,0.5 up to 0.8%,0.8 up to 1%,0.5 up to 0.8%
1062. HHT is a:,Low alloy steel,High alloy steel,Non-alloyed steel,Low alloy steel
1063. CRES is a:,Low alloy steel,High alloy steel,Non-alloyed steel,High alloy steel
1064. Which cannot be classified as a HHT steel?,It has 5% Tungsten and 3% Chromium,It has 4% Chromium and 4% Vanadium,It has 6% Nickel and 2% Chromium,It has 6% Nickel and 2% Chromium
1065. AISI 6xxx has which element as its primary alloying element?,Chromium,Chromium-vanadium,Nickel-chromium,Chromium-vanadium
"1066. With the AISI standard, the second digit means:",Carbon percentage,Primary alloy percentage,Secondary alloy percentage,Primary alloy percentage
"1067. With the AISI standard, the last 2 digits represent Carbon content in:",1/10%,1/100%,1/1000%,1/100%
1068. Which element is the major ingredient for CRES?,Chromium,Silicon,Nickel,Nickel
1069. Which of the following is not a chipless deformation?,Bending,Compressing,Shearing,Shearing
1070. What appear when HHT steel suffers from cold-shortness?,Cracks,Nicks,Scratches,Cracks
1071. Which of these steel grades is affected by hydrogen embrittlement?,300M,AISI 4130,17-4 PH,AISI 4130
1072. Which of these is not likely the cause of hydrogen embrittlement?,Improper processing of the material,Service induced stresses,Installation residual stresses,Service induced stresses
1073. When steels are heat treated near its upper limit:,Tends to fracture without much deformation,Absorbs more energy by deformation,Yields the desire structural reliability from either dynamic or static loads,Tends to fracture without much deformation
1074. The higher the carbon content:,The higher hardness steel,The higher weldability steel,The higher ductility steel,The higher hardness steel
"1075. When tempering steel, the temperature is:",Above the GSE line,Below the GSE line,Exactly at the GSE line,Below the GSE line
"1076. When soft annealing steel, after heating, you must:",Cool it down by quenching,Cool it down in the furnace slowly,Cool it down at room temperature,Cool it down in the furnace slowly
1077. Which of these steels can be heat treated?,Austenitic,Martensitic,Ferritic,Martensitic
1078. Which of the following surface protection method can be used on both stainless and non-stainless steels?,Chrome passivating,Chromium plating,Cadmium plating,Cadmium plating
"1079. To get hot-gas corrosion resistance properties, which of these surface protection method is used on non-stainless steel?",Phosphating,Chemical Nickel plating,Hard Chromium plating,Hard Chromium plating
1080. Which of these acids will have a reaction with titanium at room temperature?,Chromic acid,Hydrochloric acid,Hydrofluoric acid,Hydrofluoric acid
1081. The most common alloying element for titanium is?,Aluminum,Copper,Zinc,Aluminum
"1082. In general, Titanium is not:",Castable,Cuttable,Millable,Castable
1083. Which of the following can be used with titanium fire?,Water,Powder extinguisher,Foam extinguisher,Powder extinguisher
"1084. When you start drilling titanium, which of the following drill bits cannot be used?",5/32 in,1/8 in,3/16 in,3/16 in
1085. Which is not a suitable cooling media for titanium drilling?,Distilled water,Oil,Air,Oil
1086. Titanium components cannot be cleaned using:,MEK,Isopropyl Alcohol,Acetone,Isopropyl Alcohol
1087. How can you recycle aluminum material?,Remelting,Polishing,Alloying,Remelting
"1088. When alloying pure aluminum with other elements, which is not true?",Increased strength,Decreased deformability,Increased corrosion resistance,Increased corrosion resistance
"1089. Compared to cast aluminum alloys, wrought aluminum alloys:",Are more brittle,Are less brittle,Have the same brittleness,Are less brittle
1090. Which of the following is a non-heat treatable aluminum alloy?,AlMgMn,AlSiCu,AlCuMg,AlMgMn
1091. Which of these aluminum are not corrosion resistant?,3003 Al,5056 Al,7475 Al,7475 Al
1092. Which of these aluminum are weldable and heat treatable?,5056,6061,7475,6061
1093. Why do you need to clad aluminum alloys?,Alloys do not form a closed oxide skin to protect themselves.,Alloys do not give the same shine and glare.,Alloys do not have the same properties as pure aluminum.,Alloys do not form a closed oxide skin to protect themselves.
1094. Which of the following usually has the thickest clad layer?,0.0055 m 2024 Al,0.3 inch 7075 Al,6200 µm2117 Al,0.0055 m 2024 Al
1095. Aluminum alloy designated with 3XX.X has which element as its major alloying element?,Manganese,Magnesium and silicon,Silicon with copper and/or magnesium,Silicon with copper and/or magnesium
