Question,Option A,Option B,Option C,Correct Answer
1437. What is presented by letter E in SHELL model?,Environment,Entertainment,Efficiency,Environment
1438. State some of hardware deficiency in SHELL model,"Extreme temperature, excessive noise","Inappropriate equipment, poor aircraft design for maintainability","Shorted of man power, lack of supervision","Inappropriate equipment, poor aircraft design for maintainability"
1439. What is “Murphy’s law”?,"If something can go wrong, it will","If something wrong, it can be corrected","If some thing can not go wrong, it will","If something can go wrong, it will"
1440. What is the aim of Human factors,Define the methods to find out and punish the rule violated person,Find the human errors and correct them,"Optimize human performance within a system by contributing to the planning, design, and evaluation of tasks, jobs, products, organizations, environments and systems in order to make them compatible with the needs, abilities, and limitations of people","Optimize human performance within a system by contributing to the planning, design, and evaluation of tasks, jobs, products, organizations, environments and systems in order to make them compatible with the needs, abilities, and limitations of people"
"1441. According to Boeing data, the primary causes of accidents are","Flight crew, Airplane, Maintenance","Flight crew, Weather only",Maintenance only,"Flight crew, Airplane, Maintenance"
1442. How many disciplines of human factor?,There are 5 disciplines of human factors,There are 10 disciplines of human factors,There are 15 disciplines of human factors,There are 10 disciplines of human factors
1443. How many senses of human?,"There are 3 senses: sight, smell and hearing","There are 4 senses: touch, sight, smell and hearing","There are 5 senses: touch, taste, sight, smell and hearing","There are 5 senses: touch, taste, sight, smell and hearing"
1444. Long-sightedness caused by the ageing process begin after,The age of 40,The age of 50,The age of 60,The age of 40
1445. The sense of touch use,Our nose to detect,Our eyes to detect,Our hand to detect,Our hand to detect
"1446. When a task require a ""sniff check"" in order to determine a system error, you can use",Your eyes,Your nose,Your ears,Your nose
1447. Which is correct about the power of vision,Older people are often more affected by dazzling than younger ones,Younger people are often more affected by dazzling than older ones,Older people are affected by dazzling as younger ones,Older people are often more affected by dazzling than younger ones
1448. Light enters the eye through the,Cornea,Pupil,Retina,Cornea
"1449. What is the hearing range of a healthy, young individual?",From 10Hz to 10.000 Hz,From 20 Hz to 20.000 Hz,From 30Hz to 30.000 Hz,From 20 Hz to 20.000 Hz
1450. Which factors affect your hearing,Old age,Working pressure,Old age and exposure to excessive noise for long time,Old age and exposure to excessive noise for long time
1451. The damage to hearing can be expected,Above 100 dB,Above 120 dB,Above 150 dB,Above 150 dB
"1452. The ""decision generator"" module of information processing uses",Ultra short-term memory and short-tern memory,Short-term memory and long-tern memory,Ultra short-term memory and long-tern memory,Short-term memory and long-tern memory
1453. The official definition of claustrophobia is:,Abnormal fear of enclosed spaces,Abnormal fear of enclosed people,Abnormal fear of enclosed height,Abnormal fear of enclosed spaces
1454. What type of phobia are the most common in aviation,Claustrophobia and arachnophobia,Claustrophobia and acrophobia,Claustrophobia and agoraphobia,Claustrophobia and acrophobia
1455. What is Peer Pressure?,Pressure created by managers,Pressure created by Stress,"Pressure which one may feel, to conform to what he believes that his colleagues expect","Pressure which one may feel, to conform to what he believes that his colleagues expect"
1456. Motivation is,A reward or punishment designed to reduce errors,The thing that drives someone to do something,A reward or punishment designed to increase work rate,The thing that drives someone to do something
1457. A person can be said to be motivated if,They cut corners to get the job done quickly,They are on a productivity bonus,They are taking action to achieve something,They are taking action to achieve something
1458. What should you do if you are the team leader?,Ask everybody follow your opinion because you are the best,Listen to everybody to make yourself better,Always follow your rules,Listen to everybody to make yourself better
1459. What should you do if you are the team member?,Always follow team leader instruction,Said what you think is the best for the work to be carried out safely,Ask everybody to follow your opinion,Said what you think is the best for the work to be carried out safely
1460. What is the advantage of team working?,"Sharing resources, cross checking other’s work",Follow the norms,"Sharing resources, cross checking other’s work and follow the norms","Sharing resources, cross checking other’s work"
1461. Which factors affect human performance?,"Fitness, stress, workload, shiftwork, medication, fatigue, sleep.","Fitness, stress, time pressure, workload, shiftwork, medication.","Fitness, stress, time pressure, workload, shiftwork, medication, fatigue, sleep.","Fitness, stress, time pressure, workload, shiftwork, medication, fatigue, sleep."
"1462. If there is immediate reaction which eliminates the stress, it call",Positive stress,Negative stress,Positive stress and negative stress,Positive stress
1463. What should you do if you feel tired?,Ask colleagues to check your work,Finish the work quickly in order to rest early,It is not necessary to perform the step that you think is not important,Ask colleagues to check your work
1464. The fatigue can,Affect the quality of your judgement and ability to solve problems,Increase your reaction time,Not degrade your work performance,Affect the quality of your judgement and ability to solve problems
1465. According to Circadian Clock,Our lowest level of alertness is around 1 pm to 3 pm,Our lowest level of alertness is around 1 am to 3 am,Our lowest level of alertness is around midnight,Our lowest level of alertness is around 1 am to 3 am
1466. There are two types of fatigue: Acute Fatigue and Chronic Fatigue,Chronic fatigue is more serious than Acute fatigue,Acute fatigue is more serious than Chronic fatigue,Chronic fatigue is serious as Acute fatigue,Chronic fatigue is more serious than Acute fatigue
1467. The social environment includes:,"Motivation, responsibility, peer pressure, cultural issues, teamwork and management, supervision, leadership, noise, fumes, lighting, climate and temperature","Motivation, responsibility, peer pressure, cultural issues, supervision, leadership, noise, fumes, lighting, climate and temperature","Motivation, responsibility, peer pressure, cultural issues, teamwork and management, supervision and leadership","Motivation, responsibility, peer pressure, cultural issues, teamwork and management, supervision and leadership"
1468. Noise has negative effects on the human being such as,"Distract, disturb communication, camouflage sounds and stress","Distract, disturb communication and camouflage sounds","Distract, disturb communication and stress","Distract, disturb communication, camouflage sounds and stress"
"1469. When focus on light efficiency, which is the best?",Candescent light,Florescent light,Vapour light,Vapour light
1470. Which lamps are often use in the Hangar and Apron,Candescent lamps,Mercury vapour lamps,Florescent lamps,Mercury vapour lamps
1471. What types of sonic waves can damage your nerve cells,Infra-Sonic waves,Ultra-Sonic waves,Infra-Sonic and Ultra-Sonic waves,Ultra-Sonic waves
1472. The connection between performance and climatic factors,The performance level is high at cold and humid condition,The performance level is high at hot and humid condition,The performance level is high at optimum condition (15-25 Celsius and 25-85% humidity),The performance level is high at optimum condition (15-25 Celsius and 25-85% humidity)
1473. What should you do when planning a work?,Ask colleague for experience,Follow the written guidance manual,Follow the previously performed work,Follow the previously performed work
1474. What should you do when perform a repetitive work,Follow your memory,Follow the previously used manual,Follow the updated manual,Follow the updated manual
1475. Three stages of situation awareness is,"Perception, Understanding and Prediction","Perception, Prediction and Understanding","Understanding, Prediction and Perception","Perception, Understanding and Prediction"
1476. Which is correct?,Monotonous activities may have a tiring effect and can decrease stimulation,Monotonous activities may have a tiring effect and can increase stimulation,Monotonous activities may have no tiring effect and can decrease stimulation,Monotonous activities may have a tiring effect and can decrease stimulation
1477. Common aircraft visual inspections include:,System inspections and zonal inspections,"System inspections, structural inspections, and zonal inspections","System inspections, electrical inspections, and zonal inspections","System inspections, structural inspections, and zonal inspections"
