Question,Option A,Option B,Option C,Option D,Correct Answer
What can increase risk of hazards?,Drug and alcohol use,Soft drink use,Bottled water use,,Drug and alcohol use
What is the type of explosive hazard in workshop?,Oils,Greases,Oxygen systems,,Oxygen systems
Which is explosive hazard?,Physical hazard,Chemical hazard,Mechanical hazard,,Chemical hazard
"Which type personnel protective equipment is recommended for use, to handle loads with rough surfaces and jagged edges?",Leather gloves,Paper gloves,Polythene gloves,,Leather gloves
"What is the type of fire with flammable liquids, oil and grease?",Class - C,Class - A,Class- B,,Class- B
"Which type of fire extinguisher suitable for Class ""A"" fire?",Dry powder,Foam and water,Halon,,Foam and water
What is the cause for electric fire?,Rated fuse,Tight wire connection,Over loaded circuits,,Over loaded circuits
Precision measuring and test equipment must be,Calibrated,Cleaned,Marked,,Calibrated
"All materials of a flammable nature (dope, thinners, paint and other solvents) should be stored in",Out side,Special rooms,Optional place,,Special rooms
"When the dimension is expressed as 20 (+0.025 and - 0.025), then the tolerance is",0.035,0.025,0.05,,0.05
The feeler gauge is used to measure …....between the mating parts,Step,Space,Gap width and clearance,,Gap width and clearance
Use a lead pencil on titanium,Prohibited,Optional,Using with carefully instructions,,Prohibited
Scribing block is used to,Hold the round bars during marking,Check the trueness of flat surfaces,Locate the centres of round bars,,Check the trueness of flat surfaces
Which is the following tool used to mark permanent lines on component or part surfaces,A ruler,A pencil,A scriber,,A scriber
The sawing movement is done with,Return stroke under pressure,Forward stroke under pressure,Return stroke under pressure and Forward stroke under pressure,,Forward stroke under pressure
"For soft materials, the hacksaw blade shol have …......teeth per 25 mm",14,24,32,,14
A file removes the metal during,Return stroke,Both forward and return strokes,Forward stroke,,Forward stroke
The back countersinking tool. The operation of smoothing and squaring the surface around a hole is known as:,Spotfacing,Counter boring,Countersinking,,Spotfacing
To tighten the bolts and nuts with a specified torque which of the following tool is used,Speed handle,Ratchet,Torque wrench,,Torque wrench
The least count of a Vernier calliper is,0.01 mm,0.001 mm,0.02 mm,,0.02 mm
"The instrument used to measure external and internal diameter of shaft, thickness of parts and depth of holes, is",Outside-Inside micrometer,Vernier calliper,Depth gauge micrometer,,Vernier calliper
"How can ""velocity factor"" be defined?",The relation between the speed of light and current,The relation of the propagation speed to the speed of light,The relation between the speed of light and voltage,,The relation of the propagation speed to the speed of light
"When operating Air Data Test process, which function will be allowed?",Altitude/ air speed specifications,Flap/Slat operation,RAT test,,Altitude/ air speed specifications
Where can we find the specifications for air data systems?,FAR 25.1325 as well as in the FAR 43 Appendix E,Technical Logbook,AMM,,FAR 25.1325 as well as in the FAR 43 Appendix E
"Who will state the ""velocity factor""?",Aircraft manufacturer,CRS B Engineer,Cable Manufacturer,,Cable Manufacturer
Which factor damages the conductor material in aircraft wiring?,High voltage lead to high heat,Lightning strike,Vibration or frequent bending (doors/panels),,Vibration or frequent bending (doors/panels)
"When using a current clamp meter, which method can be used to measure direct current?",Classic method,Hall effect sensor method,Measuring with a coil,,Hall effect sensor method
"When measuring high currents, the devices is connected in",Series,Parallel,Perpendicular,,Series
Purpose of insulation measurement,Enhancing connection between conductors or conductors and ground potential,Measuring the potential difference,Anti fire burning,,Enhancing connection between conductors or conductors and ground potential
The condition of coaxial cable can be tested by,Potentiometer,Thyristor,Impulse reflectometry tester,,Impulse reflectometry tester
How can we know shortened coaxial wire during test,A negative impulse is reflected.,A reflection with the same polarity as the input impulse indicates an open line,Afaultless line with correct terminating resistance will not cause any reflections.,,A negative impulse is reflected.
Which type of line in Engineering drawing show the Hidden outlines and edges,Chain (thin),Dashed (thin),Continuous (thin),,Dashed (thin)
The standard views in the European drawings are,"Front view, side view and top view","Top view, left side view and right view","Top view, left side view and rear view",,"Front view, side view and top view"
The standard views in the American drawings are,"Top view, left side view and right view","Top view, left side view and rear view","Front view, side view and top view",,"Top view, left side view and rear view"
What is tolerance?,The difference between these high and low limits of size,The difference from zero value to highest value,The difference from the lowest value to zero value,,The difference between these high and low limits of size
"If the word ”assembly” or ”Installation” does not appear in the title, the drawing is",Repair drawing,Detail drawing,Assembly drawing,,Detail drawing
"In drawing, simple symbols such as circles, pitch circles, triangles, squares etc. are used, and every single symbol represents for:",One fastener type,Diameter of fastener,Material of fastener,,One fastener type
What is clearance fit?,The difference between the diameters of a shaft and a hole if the hole diameter is larger then the shaft diameter,The difference between the diameters of a shaft and a hole if the shaft diameter is larger then the hole diameter,The upper limit of diameter of shaft is higher than the lower limit of diameter of hole in the production,,The difference between the diameters of a shaft and a hole if the hole diameter is larger then the shaft diameter
What is interference fit?,The difference between the diameters of a shaft and a hole if the hole diameter is larger then the shaft diameter,The difference between the diameters of a shaft and a hole if the shaft diameter is larger then the hole diameter,The upper limit of diameter of shaft is lower than the lower limit of diameter of hole in the production,,The difference between the diameters of a shaft and a hole if the shaft diameter is larger then the hole diameter
What is transition fit?,This is a range of fits which can be either clearance or interference. Here the tolerance fields of hole and shaft are overlapping,"In this assembly there is a space between the two parts, e.g. bearings",The upper limit of diameter of shaft is lower than the lower limit of diameter of hole in the production,,This is a range of fits which can be either clearance or interference. Here the tolerance fields of hole and shaft are overlapping
What is upper limit?,The highest allowed size in the production. You can calculate it from the basic size and the upper deviation,The lowest allowed size and can be calculated from the basic size and the lower deviation,Is calculated by the base line and the tolerance,,The highest allowed size in the production. You can calculate it from the basic size and the upper deviation
What is lower limit?,The highest allowed size in the production. You can calculate it from the basic size and the upper deviation,The lowest allowed size and can be calculated from the basic size and the lower deviation,Is calculated by the base line minor the tolerance,,The lowest allowed size and can be calculated from the basic size and the lower deviation
D= +0.009 30mm -0.004. The upper limit is?,30.009 mm,30.004 mm,29.006 mm,,30.009 mm
D= +0.009 30mm -0.004. The lower limit is?,30.004 mm,30.009mm,29.006mm,,29.006mm
