Question,Option A,Option B,Option C,Option D,Correct Answer
What is the base element of ferrous materials?,Steel,Iron,Copper,,Iron
Pure iron is:,Very soft,Very hard,Moderate hardness,,Very soft
"Compared to aluminum, steel has:",Lower density,Higher density,The same density,,Higher density
What are steel grades?,Rating of steel’s usefulness,The cost to make the steel,"The different kinds of steels, distinguished by the specific properties",,"The different kinds of steels, distinguished by the specific properties"
What type of non-alloyed steel is use on aircrafts?,Construction steel,Carbon steel,Manufacturing steel,,Carbon steel
Carbon steel has carbon content around:,0.05 up to 0.5%,0.5 up to 0.8%,0.8 up to 1%,,0.5 up to 0.8%
HHT is a:,Low alloy steel,High alloy steel,Non-alloyed steel,,Low alloy steel
CRES is a:,Low alloy steel,High alloy steel,Non-alloyed steel,,High alloy steel
Which cannot be classified as a HHT steel?,It has 5% Tungsten and 3% Chromium,It has 4% Chromium and 4% Vanadium,It has 6% Nickel and 2% Chromium,,It has 6% Nickel and 2% Chromium
AISI 6xxx has which element as its primary alloying element?,Chromium,Chromium-vanadium,Nickel-chromium,,Chromium-vanadium
"With the AISI standard, the second digit means:",Carbon percentage,Primary alloy percentage,Secondary alloy percentage,,Primary alloy percentage
"With the AISI standard, the last 2 digits represent Carbon content in:",1/10%,1/100%,1/1000%,,1/100%
Which element is the major ingredient for CRES?,Chromium,Silicon,Nickel,,Nickel
Which of the following is not a chipless deformation?,Bending,Compressing,Shearing,,Shearing
What appear when HHT steel suffers from cold-shortness?,Cracks,Nicks,Scratches,,Cracks
Which of these steel grades is affected by hydrogen embrittlement?,300M,AISI 4130,17-4 PH,,AISI 4130
Which of these is not likely the cause of hydrogen embrittlement?,Improper processing of the material,Service induced stresses,Installation residual stresses,,Service induced stresses
When steels are heat treated near its upper limit:,Tends to fracture without much deformation,Absorbs more energy by deformation,Yields the desire structural reliability from either dynamic or static loads,,Tends to fracture without much deformation
"When tempering steel, the temperature is:",Above the GSE line,Below the GSE line,Exactly at the GSE line,,Below the GSE line
"When soft annealing steel, after heating, you must:",Cool it down by quenching,Cool it down in the furnace slowly,Cool it down at room temperature,,Cool it down in the furnace slowly
Which of these acids will have a reaction with titanium at room temperature?,Chromic acid,Hydrochloric acid,Hydrofluoric acid,,Hydrofluoric acid
The most common alloying element for titanium is?,Aluminum,Copper,Zinc,,Aluminum
"In general, Titanium is not:",Castable,Cuttable,Millable,,Castable
Which of the following can be used with titanium fire?,Water,Powder extinguisher,Foam extinguisher,,Powder extinguisher
"When you start drilling titanium, which of the following drill bits cannot be used?",5/32 in,1/8 in,3/16 in,,3/16 in
Which is not a suitable cooling media for titanium drilling?,Distilled water,Oil,Air,,Oil
Titanium components cannot be cleaned using:,MEK,Isopropyl Alcohol,Acetone,,Isopropyl Alcohol
How can you recycle aluminum material?,Remelting,Polishing,Alloying,,Remelting
"When alloying pure aluminum with other elements, which is not true?",Increased strength,Decreased deformability,Increased corrosion resistance,,Increased corrosion resistance
"Compared to cast aluminum alloys, wrought aluminum alloys:",Are more brittle,Are less brittle,Have the same brittleness,,Are less brittle
Which of the following is a non-heat treatable aluminum alloy?,AlMgMn,AlSiCu,AlCuMg,,AlMgMn
Which of these aluminum are not corrosion resistant?,3003 Al,5056 Al,7475 Al,,7475 Al
Which of these aluminum are weldable and heat treatable?,5056,6061,7475,,6061
Why do you need to clad aluminum alloys?,Alloys do not form a closed oxide skin to protect themselves.,Alloys do not give the same shine and glare.,Alloys do not have the same properties as pure aluminum.,,Alloys do not form a closed oxide skin to protect themselves.
Which of the following usually has the thickest clad layer?,0.0055 m 2024 Al,0.3 inch 7075 Al,6200 µm2117 Al,,0.0055 m 2024 Al
Aluminum alloy designated with 3XX.X has which element as its major alloying element?,Manganese,Magnesium and silicon,Silicon with copper and/or magnesium,,Silicon with copper and/or magnesium
1XXX aluminum has at least:,99.00% aluminum,99.09% aluminum,99.99% aluminum,,99.00% aluminum
How do you differentiate between wrought aluminum and cast aluminum by their designated number?,Wrought aluminum has 1 more digit compared to cast aluminum,Cast aluminum has 1 digit separated from the previous 3 by a point,Wrought aluminum has the last digit being 1 or 2 to specify the form of manufacture,,Cast aluminum has 1 digit separated from the previous 3 by a point
How many steps are there in the aluminum heat treatment process?,2,3,4,,3
Which step increases the hardness of aluminum alloys in the heat treatment process?,Solution annealing,Quenching,Aging,,Aging
"In the solution annealing process, the temperature of the aluminum alloy is brought to:",Above the solubility curve,Below the solubility curve,Exactly the solubility curve,,Above the solubility curve
The solution annealing time of a material depends on:,The type of material,The thickness of the material,The type of furnace used,,The thickness of the material
"In the solution annealing process, the temperature and soak time of the material depends on:",The material manufacturer,The aircraft manufacturer,The authority,,The material manufacturer
The purpose of quenching is to:,Cool down the material,Fix the state achieved with solution annealing,Harden the material,,Fix the state achieved with solution annealing
"Generally, the quenching process happens in:",A salt bath,An oil bath,A water bath,,A water bath
The W-state is achieved:,After solution annealing,After quenching,After aging,,After quenching
