Question,Option A,Option B,Option C,Option D,Correct Answer
TSO (Technical Standard Organization) authorization holder must,comply with VAR Part 7,comply with VAR Part 10,"provide all maintenance, overhaul and repair manual to operators",keep a record of aircraft maintenance following VAR Part 5,"provide all maintenance, overhaul and repair manual to operators"
Each manufacturer of aircraft’s parts must legibly and permanently mark the following information on the part,"trademark, name or symbol of the holder and Part number (P/N) as stated in model designation","trademark, name of the holder only",part number and serial number only.,"no permission to mark on the part, the information is including in the authorized release certificate supplied with the part","trademark, name or symbol of the holder and Part number (P/N) as stated in model designation"
The validity of TSO (Technical Standard Order) authorization is,06 months,01 year,18 months,no limit,01 year
The requirements for approval a design organization is specified in,VAR Part 21.,maintenance manual.,VAR Part 18.,VAR Part 9.,VAR Part 21.
Can a person not employed by an approved organisation sign the CRS?,Only in certain situations.,No.,Yes. Only for the case of pre-flight inspection.,,Only in certain situations.
Maintenance of large aircraft must be carried out by,a part 12 approved organisation.,a part 5 approved organisation.,a part 9 approved organisation.,VAR Part 21 approved organisation.,a part 5 approved organisation.
"In normal operation, signing of a CRS within a VAR Part 5 approved company",can be done by a suitably licensed engineer not employed by the company.,must be done by a suitably licensed engineer employed by the company.,can be done by an unlicensed engineer providing they are employed by the company.,can not be done by a suitably licensed engineer employed by the company.,must be done by a suitably licensed engineer employed by the company.
The technical log is a requirement of,VAR Part 5.,VAR Part 12.,VAR Part 21.,VAR Part 10.,VAR Part 12.
Which of the following is not contained in a Tech Log?,List of acceptable deferred defects.,Weight and C-G. Schedule.,"A separate provision for the current release to service . airframe hours, landing gear cycles.",,Weight and C-G. Schedule.
The persons authorised to issue Certificate of Maintenance Review are mentioned,in the Maintenance Control Manual.,on the airworthiness review certificate.,on the VAR Part 12 Certificate of Approval.,,in the Maintenance Control Manual.
A certificate of maintenance review is necessary after,refuelling an aircraft.,6 months from the issue date of the previous one.,any task affecting airworthiness of the aircraft.,After engine change.,6 months from the issue date of the previous one.
