Question,Option A,Option B,Option C,Correct Answer
686. All Monitors for EIS,are same type in all aircrafts,are same type in an aircraft,are difference type in an aircraft,are same type in an aircraft
687. All modern aircraft use,Electronic Instrument Display Systems,Analoge Indicator,Analoge technology,Electronic Instrument Display Systems
688. A typical Electronic System has the following components,"Display Computers, Display Units and Control Panels","Display Computers, Display Units and Keyboards","Display Computers, Display Units and Mouse","Display Computers, Display Units and Control Panels"
689. What generation of display unit are installed in the early 80’s,LCD display units,Simple cathod ray tubes,Display units,Simple cathod ray tubes
690. Which generation of display unit are installed since 90’s,LCD display units,Simple cathod ray tubes,Analogue Display Units,LCD display units
691. Which Display Unit indicate the data of naviagtion system?,Primary Flight Display (PFD),Navigation Display (ND),System Display (SD),Navigation Display (ND)
692. The lower center display unit is called,System display,Engine Indication display,Warning display,System display
693. The two groups indicators in the cockpit are,Flight surveillance and Engine surveillance,Aircraft surveillance and Engine surveillance,Flight surveillance and Aircraft surveillance,Flight surveillance and Aircraft surveillance
694. The inputs of Display computers are:,"Navigation data, Auto Flight System data and Display Unit",Engine data and Auto Flight System data and Display Unit,"Navigation data, Auto Flight System data, Engine data and Data from various aircraft systems.","Navigation data, Auto Flight System data, Engine data and Data from various aircraft systems."
695. Each pilot has two Display Units. They are,Primary Flight Display (PFD) and System Display (SD),Primary Flight Display (PFD) and Navigation Display (ND),Navigation Display (ND) and System Display (SD),Primary Flight Display (PFD) and Navigation Display (ND)
696. How many display computers on aircraft?,Two display computers,Three display computers,There are at least two display computers. Large aircraft have a third display computer for redundancy,There are at least two display computers. Large aircraft have a third display computer for redundancy
697. Which informations are displayed on the Electronic Flight Instruments?,The navigation data,The navigation data and the information about the activities of the auto flight system,The information about the activities of the auto flight system,The navigation data and the information about the activities of the auto flight system
698. The upper center display shows,Alerts from various aircraft systems if something is out of limit,Aircraft System data,The information about the activities of the auto flight system,Alerts from various aircraft systems if something is out of limit
699. Which components are form a display unit,Cathod ray tube and Symbol Generator Unit (SGU),Cathod ray tube and symbol generator,Cathod ray tube and Display Management Computer (DMC),Cathod ray tube and symbol generator
700. Which indicator is belongs to Flight surveillance group?,Heading indicator,Position Indication,EGT indicator,Heading indicator
701. Which indicator is belongs to Aircraft surveillance group?,Position indication,Altimeter,Fuel indicator,Position indication
702. Which indicator is belongs to Engine surveillance group?,Speed indicator,Pressure indication,RPM indicators,RPM indicators
703. In older systems video data transfers to the display are from,Symbol Generator Unit (SGU),Display Management Computer (DMC),Aircraft System Computers,Symbol Generator Unit (SGU)
704. In newer system. Which components are supplied with information (data) via ARINC 429 data bus or similar busses?,The displays contain a symbol generator,The symbol generator,Display Management Computer (DMC),The displays contain a symbol generator
705. In newer system. Which components creat the picture?,Symbol Generator Unit (SGU),The displays contain a symbol generator,Display Management Computer (DMC),The displays contain a symbol generator
706. In Newer EIS Systems. Each display unit receives data from,One Display Management Computer (DMC),One main and one standby Display Management Computer (DMC),All the three Display Management Computer (DMC),All the three Display Management Computer (DMC)
707. The Weather Radar Picture is transferred to the display with,ARINC 429 data bus,A dedicated ARINC 453 data bus,A dedicated ARINC 629 data bus,A dedicated ARINC 453 data bus
708. Which data bus is used for EGPWS?,ARINC 429 data bus,A dedicated ARINC 629 data bus,ARINC 453 data bus,ARINC 453 data bus
709. If one monitor of EIS fails its information,Can be transferred to an other monitor,Will lost,Remain displayed at last,Can be transferred to an other monitor
710. In modern aircraft. When Pilot operation of a push button on a cockpit control panel will be,Acted on by the processor,Transmitted via the data bus to the receiver systems,Acted on by the processor and transmitted via the data bus to the receiver systems,Acted on by the processor and transmitted via the data bus to the receiver systems
711. In modern aircraft. Necessary parameters are fed,"In analoge form to a radio transmitter, which sends data to ground","In digital form to a radio transmitter, which sends data to ground","In discrete form to a radio transmitter, which sends data to ground","In digital form to a radio transmitter, which sends data to ground"
712. The Navigation data send to the Display Units are,Digital data,Analogue Data,Digital and Analogue data,Digital data
713. The Engine data send to the Display Units are,Analogue Data,Discrete data,Digital data,Digital data
