Question,Option A,Option B,Option C,Correct Answer
67. The smallest part of an element is:,A compound,An atom,A molecule,An atom
68. What do you get when you add 2H2 and O2?,2H2O,2HO2,2H2O2,2H2O
69. A positive ion:,Has extra electrons,Has number of protons difference with number of neutrons,Has missing electrons,Has missing electrons
70. The nucleus of an atom contains:,Protons and electrons,Protons and neutrons,Electrons and neutrons,Protons and neutrons
71. The atomic mass number is the number of.,Protons plus electrons,Neutrons plus electrons,Protons plus neutrons,Protons plus neutrons
72. Which physical states may matter exist in?,"Solid, liquid","Liquid, gas","Solid, liquid and gas","Solid, liquid and gas"
73. Which statement is the best correct?,Each vector consists of Direction,Each vector consists of Intensity,Each vector consists of Direction and intensity,Each vector consists of Direction and intensity
"74. In physics, which below scalars have no direction?","Mass, time, force","Mass, temperature, force","Mass, time and temperature","Mass, temperature, force"
"75. Two forces work on an object on the same time, when the result should be calculated, you need:",Angle of vector only,Length of vector only,Angle and length of vector,Angle and length of vector
76. The center of gravity is depend on:,The form of a body,The mass of a body,The density of a body,The form of a body
77. Stress is show as:,Ratio of body Weight to Area of applied Force,Ratio of External Force to Area of applied Force,Ratio of External Force to Area of body Surface,Ratio of External Force to Area of applied Force
"78. When a hammer has contacted Area 0.01m² applying a Force 10 Newton applying to a table, how many Stress acts on the table?",100 Pa,1000 daN,1000 Pa,1000 Pa
79. Basic structural stresses to aircraft are:,"Tension, compression, torsion","Shear, bending, tension","Tension, compression, torsion, shear and bending","Tension, compression, torsion"
80. Which statement is the best correct?,Unit for tensile stress is Lb/in²,Unit for tensile stress is N/m,Units for tensile stress are: Lb/in² or N/m²,Units for tensile stress are: Lb/in² or N/m²
81. Calculate compression stress on cross section Area 0.5m² with Force perpendicular to area 150N.,75N/m²,300N/m²,300N.m,300N/m²
82. Which is the Force required on wrench handle with length 10 in to produce a torque of 300 in.lbf?,30 lbf,3000 lbf,300 lb,30 lbf
83. Which is the Force required on torque wrench handle with length 15 in and extension with length 5 in to produce a torque of 300 in.lbf?,25 lbf,20 lbf,15 lb,15 lb
84. All matters exists in which states?,"Solid, Liquid or Gas",Liquid or Gas,"Solid, Liquid or Lava","Solid, Liquid or Gas"
"85. When 5 MPa (725 psi) of fluid pressure is supplied to a cylinder with a piston area of 10 cm2, how many Force is generated?",7250 N,5000 N,2000 N,5000 N
86. Formula of Pascal's law is:,The amount of force (F) produced by a hydraulic piston by multiplying the area (A) of the piston by the pressure (p) exerted by the fluid,The amount of force (F) produced by a hydraulic piston by multiplying the length (L) of the piston by the pressure (p) exerted by the fluid,The amount of force (F) produced by a hydraulic piston by multiplying the area (A) of the piston by the fluid density (D),The amount of force (F) produced by a hydraulic piston by multiplying the area (A) of the piston by the pressure (p) exerted by the fluid
"87. A cylinder has a piston surface area 4 in² on the side without rod. When 1,000 psi of pressure is applied. How many force is produced?",4000 lbs,400 lbs,4000 N,4000 lbs
"88. A cylinder has a piston surface area 4 in² on the side with rod, rod area 1 in².When 1,000 psi of pressure is applied. How many force is produced?",4000 lbs,3000 lbs,3000 N,3000 lbs
"89. A block of wood of volume 2 ft³ in ocean water, density of ocean water is 64.4 lb/ft³. Find the Buoyancy Force acts on this block.",32.2 lb.ft,32.2 lb,128.8 lb,128.8 lb
