Question,Option A,Option B,Option C,Option D,Correct Answer
VAR Part 7 is.,Aviation personnel licence.,Air Operators Certificate.,The Approved Organisation. Continuing Airworthiness of Aircraft.,,Aviation personnel licence.
VAR Part 7 applicable to.,all persons seeking licences under the aviation regulation of Vietnam.,all persons who perform maintenance on an aircraft registered in Vietnam.,all persons who perform maintenance on an aircraft operated in Vietnam.,all person who working for a CAAV approved maintenance organisation.,all persons seeking licences under the aviation regulation of Vietnam.
To be eligible for an AMT licence.,Be at least 18 years of age.,Be at least 20 years of age.,Be at least 22 years of age.,Be at least 24 years of age.,Be at least 18 years of age.
An engineer may issue a CRS if they.,have a company approval.,are LWTR (licensed with type rating) and company approved on the appropriate type of aircraft.,are type rated on any equivalent aircraft type. are licensed with class rating and company approved on the appropriate type of aircraft.,,are LWTR (licensed with type rating) and company approved on the appropriate type of aircraft.
Where would you normally train for licences?,At a VAR Part 9 approved organisation.,At a VAR Part 5 approved organisation.,At a technical training school.,At a VAR Part 21 approved organisation.,At a VAR Part 9 approved organisation.
To what does a B1-3 License apply to?,"Helicopter with turbines, their engines, airframes and electrics.",Light aircraft with piston engines.,"Helicopters with piston engines, their engines, airframes and electrics.",Aeroplanes Turbine.,"Helicopter with turbines, their engines, airframes and electrics."
What can an A1 licensed engineer sign for?.,Minor Scheduled Line Maintenance tasks on turbine engined helicopters.,Minor Scheduled Line Maintenance tasks on turbine engined aircraft.,Minor Scheduled Line Maintenance tasks on piston engined aircraft.,Minor Scheduled Line Maintenance check on piston engine helicopter.,Minor Scheduled Line Maintenance tasks on turbine engined aircraft.
Who can sign a CRS?,Any licensed engineer.,An appropriately licensed engineer.,An unlicensed engineer who has permission from the Chief Inspector.,The Pilot.,An appropriately licensed engineer.
Where would you find the requirements and the syllabus for a maintenance license?.,VAR Part 5,VAR Part 7,VAR Part 9,VAR Part 10,VAR Part 7
An A1 licensed mechanic can sign for.,Aeroplanes and Helicopters.,Aeroplanes - Piston.,Aeroplanes - Turbine.,Helicopters - Piston,Aeroplanes - Turbine.
Who issues a VAR Part 7 AMT licence?,VAR Part 9 organisation.,A VAR Part 5 organisation.,The CAAV.,ICAO.,The CAAV.
How long is a VAR Part 7 AMT licence valid?,initially 2 years then re-issued for a period of 5 years.,initially 5 years then re-issued for a period of 2 years.,5 years.,No limit.,5 years.
A B2 AMT License allows aircraft maintenance technician to sign completion of maintenance after performing maintenance work on.,airframe structure and powerplants.,electrical systems and avionics.,airframe structure.,avionics only.,electrical systems and avionics.
What does a B1-3 approval apply to?,Light Aircraft with Piston Engines.,"Helicopters with Turbine Engines, airframe and electrics.","Helicopters with Piston Engines, airframe and electrics.","Aeroplanes with Piston Engines, airframe and electrics.","Helicopters with Turbine Engines, airframe and electrics."
A VAR Part 7 maintenance license remains valid.,if he/she has received continuation training in the last 2 years.,if he/she has worked on aircraft for 6 months in the last 2 years.,if he/she has worked on aircraft for 4 months in the last 2 years. If the VAR Part 7 maintenance license is still within the due date shown on it,,if he/she has worked on aircraft for 6 months in the last 2 years.
A category A licence.,is automatically issued with a category B1 licence.,is automatically issued with a category B2 licence.,is automatically issued with both a category B2 and C licence.,is automatically issued with a category C licence,is automatically issued with a category B1 licence.
Who carries out the practical task training required for a category A licence?,Either a VAR Part 5 or a VAR Part 9 organisation.,A VAR Part 9 organisation only.,A VAR Part 5 organisation only.,A VAR Part 21 production organization.,Either a VAR Part 5 or a VAR Part 9 organisation.
When can a Licenced Aircraft Engineering sign a CRS?,For any aircraft for which he has a type rating.,For any aircraft for which his company has VAR Part 5 approval.,For any aircraft for which he has a type endorsement on his license and holds the appropriate company approval.,For any aircraft for which he has a type endorsement on his license and his company has VAR Part 5 approval.,For any aircraft for which he has a type endorsement on his license and holds the appropriate company approval.
The time scale for retaining training records within a VAR Part 9 ATO is.,five years after the candidate leaves the course.,three years after the course.,five years after the completion of the course.,2 years after the completion of the course.,2 years after the completion of the course.
