Question,Option A,Option B,Option C,Option D,Correct Answer
AMO is.,Approved Maintenance Organization.,Aircraft Maintenance Organization.,Air Maintenance Organization.,Aircraft Management Organization.,Approved Maintenance Organization.
"To be approved the approved maintenance organizations and persons working for this organization, which VAR’s Parts shall the organization comply with?","VAR Part 4, Part 5, Part 7.","VAR Part 7, Part 9, Part 21","VAR Part 4, Part 7, Part 9","VAR Part 5, Part 7, Part 9","VAR Part 4, Part 5, Part 7."
"Who signs maintenance release or approval for return to service an aircraft, airframe, aircraft engine, propeller, appliance, or component part after it has undergone maintenance, preventive maintenance, rebuilding, or modification?",A type rated engineer authorized by a VAR Part 5 AMO.,A VAR Part 7 licensed Aviation maintenance technician (AMT).,A VAR Part 7 Licensed Aviation maintenance technician (AMT) or Aviation repair specialist (ARS) authorized by VAR Part 5 Approved Maintenance Organization (AMO).,A VAR Part 7 Licensed Aviation repair specialist (ARS),A VAR Part 7 Licensed Aviation maintenance technician (AMT) or Aviation repair specialist (ARS) authorized by VAR Part 5 Approved Maintenance Organization (AMO).
The competent authority of VAR Part 5 Approved maintenance organisation is:,,the NAA of the country it is located in.,the EAS,the CAAV.,the CAAV.
Maintenance release shall contain?,The identity of the person or persons signing the release.,The identity of AMO Account Manager.,The identity of AMO appropriately nominated manager.,The date such maintenance was started.,The identity of the person or persons signing the release.
A large VAR Part 5 AMO with more than 500 maintenance employees needs to have an audit team that,"only performs the audit, reporting deficiencies and monitoring corrective action.",can be combined with maintenance part of the organization.,can be contracted out to another company.,without specific requirement.,"only performs the audit, reporting deficiencies and monitoring corrective action."
Maintenance record held by a VAR Part 5 AMO is kept for at least,3 years after they were raised.,5 years after they have expired.,2 years from the date that the maintenance work was released.,5 years after they were raised,2 years from the date that the maintenance work was released.
A maintenance release shall be issued by appropriately authorised certifying staff.,when satisfied that all required maintenance of the aircraft or aircraft component has been properly carried out by the AMO holder in accordance with the maintenance procedure manual.,when satisfied that the maintenance has been carried out without the need of compliance to maintenance procedure manual,only when an aircraft part is replaced with a modified part.,only if an aircraft part is replaced with a new part.,when satisfied that all required maintenance of the aircraft or aircraft component has been properly carried out by the AMO holder in accordance with the maintenance procedure manual.
"For a VAR Part 5 approved maintenance organisation, who is responsible for ensuring all necessary resources are available to accomplish maintenance required to support the AMO's approval?",The Base Maintenance Manager.,The Safety and Quality Assurance Manager.,The Accountable Manager.,The Line Maintenance Manager,The Accountable Manager.
Shall the Vietnam-registered aircrafts be maintained and released to service?,,under equivalent system of maintenance recognized by the CA,by a Maintenance Organization Approved by the CAAV or under an equivalent system of maintenance approved by the CAAV in accordance with VAR Part 5 of CAAV regulations.,by a maintenance organization contracted by operator.,by a Maintenance Organization Approved by the CAAV or under an equivalent system of maintenance approved by the CAAV in accordance with VAR Part 5 of CAAV regulations.
Who is allowed to sign certifying completion of maintenance after implementation maintenance work planned on aircraft at VAR Part 5 AMO?,the Category B certifying staff.,the Category C certifying staff.,the Accountable Manager.,the Maintenance Controller.,the Category C certifying staff.
A VAR Part 5 approval is not required to carry out,base maintenance.,defect rectification.,prefight inspection. Minor defects in line maintenance.,,prefight inspection. Minor defects in line maintenance.
VAR Part 5 AMO shall record all details of the maintenance work performed in a form and manner acceptable to,EASA,CAAV,FAA,itself,CAAV
