Question,Option A,Option B,Option C,Option D,Correct Answer
How many fundamental units in physics?,5,6,7,,7
The fundamental units used in aerodynamics are?,"Mass, length and Velocity.","Mass, length, time, pressure and temperature.","Mass, length, time and temperature.",,"Mass, length, time, pressure and temperature."
What is sea level pressure?,1012.3 mb.,1013.2 mb.,1032.2 mb.,,1013.2 mb.
Acceleration is?,The change in speed divided by the time during which the change takes place.,The distance that a moving object covers in a unit of time.,"Denoted by v, which comes from the Latin word velocitas.",,The change in speed divided by the time during which the change takes place.
A standard atmosphere was introduced by?,ICAO,CAAV,Vietnam Airlines,,ICAO
Static pressure acts?,Only in the direction of the flow,Equally in all directions,Only in the direction of aircraft motion.,,Equally in all directions
The speed of sound is less at high altitudes because the temperature?,Is constant.,Is higher.,Is lower.,,Is lower.
Temperature at altitude above 11km will?,Increase exponentially.,Decrease exponentially.,Remain constant.,,Remain constant.
"With increasing altitude at altitude from 3 to 8 km, pressure decreases and?",Temperature increases.,Temperature decreases.,Temperature remains constant.,,Temperature decreases.
How do you understand about the tropopause?,The tropopause has different heights around the earth.,The tropopause has the heights less than 3 kilometers over the equator.,The tropopause has the same heights around the earth.,,The tropopause has different heights around the earth.
The continuity equation states that the speed of the airflow is?,Inversely proportional to the area of the cross section of the tube as long as the density remains constant.,Proportional to the area of the cross section of the tube as long as the density remains constant.,Inversely proportional to the area of the cross section of the tube as long as the density changes.,,Inversely proportional to the area of the cross section of the tube as long as the density remains constant.
The coefficient of lift is the measured lift divided by?,Theoretical drag.,Theoretical lift.,Theoretical push.,,Theoretical lift.
"In the subsonic region, the speed is?",Constant.,So slow that a flying body does not compress the air.,So high that a flying body does not compress the air.,,So slow that a flying body does not compress the air.
Which of the following is true?,Lift acts at right angles to the relative airflow and weight acts vertically down.,Lift acts at right angles to the wing chord line and weight acts vertically down.,Lift acts at right angles to the relative air flow and weight acts at right angles to the aircraft centre line.,,Lift acts at right angles to the relative airflow and weight acts vertically down.
A profile is?,A cross section of a wing.,A cross section of a fuselage.,A cross section of a Tailcone.,,A cross section of a wing.
The chord line of a wing is a line that runs from?,The centre of the leading edge of the wing to the trailing edge.,Half way between the upper and lower surface of the wing.,One wing tip to the other wing tip.,,The centre of the leading edge of the wing to the trailing edge.
How many different wing shapes with their lift distribution?,2,3,4,,4
What is the definition of Angle of Incidence?,The angle the underside of the mainplane or tailplane makes with the horizontal.,The angle the underside of the mainplane or tailplane makes with the longitudinal datum line.,The angle between the chord line of the profile and the longitudinal axis of the aircraft.,,The angle between the chord line of the profile and the longitudinal axis of the aircraft.
The angle of attack is?,The angle between the chord line of the profile and the longitudinal axis of the aircraft.,The angle the underside of the mainplane or tailplane makes with the horizontal.,The angle between the chord line of the profile and the relative wind.,,The angle between the chord line of the profile and the relative wind.
The aspect ratio is?,"The wing span, b, divided by the average chord, c.","The wing span, b, divided by the lift.","The wing span, b, divided by the drag.",,"The wing span, b, divided by the average chord, c."
"For a given aerofoil production lift, where P = pressure and V = velocity.","P1 is greater than P2, and V1 is less than V2.","P1 is greater than P2, and V1 is greater than V2.",P1 is less than P2 and V1 is greater than V2.,,"P1 is greater than P2, and V1 is less than V2."
The aerodynamic force has?,Two components,Three components,Four components,,Two components
A Lift is?,Perpendicular to the chord line.,Perpendicular to aircraft axis.,Perpendicular to the relative wind.,,Perpendicular to the relative wind.
The maximum camber and the location or the maximum camber help to?,Define the lift.,Define the drag.,Define the shape of the mean camber line.,,Define the shape of the mean camber line.
The relative wind depends on?,The flight path and is therefore not always horizontal.,The angle of attack and is therefore not always horizontal.,The angle of attack and is always horizontal.,,The flight path and is therefore not always horizontal.
When the cylinder rotates the circulatory flow causes?,An decrease in local speed on the upper surface of the cylinder and a decrease in local speed on the lower surface.,An increase in local speed on the upper surface of the cylinder and a decrease in local speed on the lower surface.,An increase in local speed on the lower surface of the cylinder and a decrease in local speed on the lower surface.,,An increase in local speed on the upper surface of the cylinder and a decrease in local speed on the lower surface.
