Question,Option A,Option B,Option C,Correct Answer
1691. A Fuselage Station is a,lateral point on aircraft wing,longitudinal point on the aircraft fuselage,lateral point on aircraft fuse,longitudinal point on the aircraft fuselage
1692. ATA Zone 100 is,left-hand wing,lower fuselage,upper fuselage,lower fuselage
1693. ATA Zone 300 is,left-hand wing,lower fuselage,The empennage which covers the aft fuselage and the horizontal and vertical stabilizers.,The empennage which covers the aft fuselage and the horizontal and vertical stabilizers.
1694. Zone 500 indicates as per ATA 100 is the,right wing,left wing,door,left wing
1695. ATA Zone 200 is,Lower half,Tail cone,Upper half,Upper half
1696. ATA Zone 700 is,Landing gear and the landing gear doors,Doors,Powerplant,Landing gear and the landing gear doors
1697. ATA Zone 800 is,Landing gear and the landing gear doors,Doors,Powerplant,Doors
1698. Normally Aircraft main structure from out side to in side:,"Skin panel- stringer,frame-beam/spar","Skin panel - beam/spar- stringer,frame",Skin panel-frame-beam/spar- stringer,"Skin panel- stringer,frame-beam/spar"
1699. Lateral Axis is?,Wing tip to Wing tip,From radome to tailcone,Perpendicular from wheel to rudder tip,Wing tip to Wing tip
1700. The engines is assembly to wing aircraft through by?,Pylon,Stringer,Rib,Pylon
1701. How many aircraft main structural units which consist of:,5 main structural,6 main structural,7 main structural,5 main structural
1702. How many major types of stress that can affect the structure of an aircraft:,3 major types,4 major types,5 major types,5 major types
1703. Tension stress is?,That resists the forces which pull it apart.,That resists the forces which compress it apart.,That resists the forces which torsion it apart.,
1704. Compression stress is?,That resists the forces which pull it apart.,That resists a crushing force,That resists the forces which torsion it apart.,That resists the forces which pull it apart.
1705. Torsion stress is?,That resists the forces which pull it apart.,That resists the forces which compress it apart.,Is stress that causes twisting,Is stress that causes twisting
1706. Shear stress is?,That resists the forces which pull it apart.,Resists a force which causes a layer of material to slide over an adjacent layer of material.,That resists the forces which torsion it apart.,Resists a force which causes a layer of material to slide over an adjacent layer of material.
1707. Bending stress is?,That resists the forces which pull it apart.,Combination of compression and tension.,That resists the forces which torsion it apart.,Combination of compression and tension.
1708. The different Units of Measurement between AIRBUS and BOEING?,"AIRBUS - Inch, BOEING - mm, cm","AIRBUS - mm, cm and BOEING - Inch","AIRBUS - mm, cm and BOEING - Yard, dm","AIRBUS - mm, cm and BOEING - Inch"
1709. Where is the horizontal Stabilizer buttock lines?,Vertical planes perpendicular to the body centerline plane.,Vertical planes parallel to the body centerline plane.,From radome to tailcone,Vertical planes parallel to the body centerline plane.
1710. Where is the body waterline of planes?,Vertical planes perpendicular to the body centerline plane.,Are horizontal planes at a right angle to the body stations and the body buttock lines,From radome to tailcone,Are horizontal planes at a right angle to the body stations and the body buttock lines
1711. How to measure the body waterlines?,From radome to tailcone,Outboard from the wing root.,"Measured from a parallel imaginary plane, body waterline 0, below the aircraft fuselage.","Measured from a parallel imaginary plane, body waterline 0, below the aircraft fuselage."
1712. Where is the leading edge stations of elevator?,Front side of elevator,Upper side of elevator,Rear side of elevator,Front side of elevator
1713. What are buttock lines?,Horizontal measurement lines.,Measurements from the centre line.,Vertical measurement lines.,Measurements from the centre line.
1714. Wing stations are measured:,From the intersection of the extended leading edge and the wing buttock line zero.,Inboard from the wing upper surface.,Outboard from the wing root.,From the intersection of the extended leading edge and the wing buttock line zero.
1715. How many digit number of the 8 major zones,2,3,4,3
1716. Lateral stations have station zero at the,Nose.,Centre line.,Left wing tip.,Centre line.
1717. Airframe components are made up of various parts which are called structural members and include?,"Stringers, frames, bulkheads, tyre","Stringers, frames, bulkheads, ribs, tyre","Stringers, frames, bulkheads, ribs, skins and other members","Stringers, frames, bulkheads, ribs, skins and other members"
1718. Structural members are connected to each other using?,"Brackets, rivets, bolts, screws and nuts",Bonding structure,"Brackets, rivets, bolts, screws, wire","Brackets, rivets, bolts, screws and nuts"
1719. An aircraft can be affected by different types of stress?,"During take−off, landing or on ground","Flight, on ground or landing","During take−off, flight or landing","During take−off, flight or landing"
"1720. The tensile strength of a material, divide the load (in pounds) of the material by its cross−section area (in square inches) is calculated by?",PSI,KG/cm²,Nm,PSI
1721. Fail Safe mean,"If a failure or a combination of failures occurs, the system becomes unserviceable. The output signal from the failed system adopts an arbitrary but safe state.","If a failure or a combination of failures occurs, the system becomes unserviceable. The output signal adopts a well defined failure state. Therefore the system is considered to be passive.",If a failure or a combination of failures occurs the system remains operative and generates an output signal within acceptable limits.,"If a failure or a combination of failures occurs, the system becomes unserviceable. The output signal from the failed system adopts an arbitrary but safe state."
1722. Fail-Passive mean,"If a failure or a combination of failures occurs, the system becomes unserviceable and The output signal from the failed system adopts an arbitrary but safe state.","If a failure or a combination of failures occurs, the system becomes unserviceable. The output signal adopts a well defined failure state. Therefore the system is considered to be passive.",If a failure or a combination of failures occurs the system remains operative and generates an output signal within acceptable limits.,"If a failure or a combination of failures occurs, the system becomes unserviceable. The output signal adopts a well defined failure state. Therefore the system is considered to be passive."
1723. Fail-Operational mean,"If a failure or a combination of failures occurs, the system becomes unserviceable and The output signal from the failed system adopts an arbitrary but safe state.","If a failure or a combination of failures occurs, the system becomes unserviceable. The output signal adopts a well defined failure state. Therefore the system is considered to be passive.",If a failure or a combination of failures occurs the system remains operative and generates an output signal within acceptable limits.,If a failure or a combination of failures occurs the system remains operative and generates an output signal within acceptable limits.
1725. If during an approach a failure occurs above the Alert Height in the redundant part of the autoland system or in the required ground equipment,An alert of the position of the aircraft is made,An alert of the altitude of the aircraft is made,A decision of whether to land is made.,A decision of whether to land is made.
1727. To prevent dangerous roll or pitch maneuvers,The signal from the Outer loop into the Inner loop has to be limited by an attitude limiter,The signal from the Outer loop into the Inner loop has to be limited by a Speed limiter,The signal from the Outer loop into the Inner loop has to be limited by an Altitude limiter,The signal from the Outer loop into the Inner loop has to be limited by an attitude limiter
1728. Which answer is correct following pitch modes?,A nose up command increases the speed and nose down increases the speed.,A nose up command increases the speed and nose down decreases the speed.,A nose up command decreases the speed and nose down increases the speed.,A nose up command decreases the speed and nose down increases the speed.
1729. Why does the common mode used for the approach?,"Because it needs two I-L-S beacons, the glideslope beam used for pitch control and localizer beam used for roll control",Because it used the VOR signal for heading control and the localizer beam for pitch control,"Because it needs two I-L-S beacons, the glideslope beam used for roll control and localizer beam used for pitch control","Because it needs two I-L-S beacons, the glideslope beam used for pitch control and localizer beam used for roll control"
1730. What is the input signal to control rudder deflection?,The sum of the rudder pedals and the rudder trim input,The sum of the yaw damper input and the rudder trim input.,The sum of the yaw damper input and the pilot input.,The sum of the yaw damper input and the pilot input.
1731. What is the function of the band pass filter circuit in Yaw Damper Computer?,This circuit allows the computer to differentiate between a dutch roll oscillation and a steady turn.,This circuit allows the computer to filter output signal of Rate Gyro.,This circuit allows the computer to filter feedback signal of Yaw Damper servo,This circuit allows the computer to differentiate between a dutch roll oscillation and a steady turn.
1732. How to move the stabilizer when the angle of attack exceeds the maximum allowed value,The stabilizer moves the leading edge down until the angle of attack is lower than specified by the curve.,The stabilizer moves the leading edge up until the angle of attack is lower than specified by the curve.,The stabilizer moves the leading edge to neutral position.,The stabilizer moves the leading edge up until the angle of attack is lower than specified by the curve.
"1733. In the speed mode of the classic autothrottle system, which signal drives the throttles",Difference speed between the selected speed on control panel and the actual speed from airdata computer,Difference between the highest actual thrust of all engines either measured in N1 or EPR with a calculated thrust limit.,Difference speed between the selected speed on control panel and the actual speed from FMS.,Difference speed between the selected speed on control panel and the actual speed from airdata computer
1734. If the present roll angle exceeds the maximum roll angle of for instance 30°,The roll angle aircraft still move to exceeded angle.,The autopilot will disconnect and the pilots takes control.,The autopilot will roll the aircraft back to 30° and maintains the maximum roll angle,The autopilot will roll the aircraft back to 30° and maintains the maximum roll angle
1735. What is the most important part of the inner loop?,Take IAS data from ADC,The comparison between the actual attitude of the aircraft and the commanded attitude,Control the control surface,The comparison between the actual attitude of the aircraft and the commanded attitude
