Question,Option A,Option B,Option C,Correct Answer
1353. How many fundamental units in physics?,5,6,7,7
1354. The fundamental units used in aerodynamics are?,"Mass, length and Velocity.","Mass, length, time, pressure and temperature.","Mass, length, time and temperature.","Mass, length, time, pressure and temperature."
1355. What is sea level pressure?,1012.3 mb.,1013.2 mb.,1032.2 mb.,1013.2 mb.
1356. Acceleration is?,The change in speed divided by the time during which the change takes place.,The distance that a moving object covers in a unit of time.,"Denoted by v, which comes from the Latin word velocitas.",The change in speed divided by the time during which the change takes place.
1357. A standard atmosphere was introduced by?,ICAO,CAAV,Vietnam Airlines,ICAO
1358. The atmosphere has many layers. The troposphere is?,The highest of these layers.,The lowest of these layers.,The layer that the temperature does not change as the altitude increases.,The lowest of these layers.
1359. Static pressure acts?,Only in the direction of the flow,Equally in all directions,Only in the direction of aircraft motion.,Equally in all directions
1360. The speed of sound is less at high altitudes because the temperature?,Is constant.,Is higher.,Is lower.,Is lower.
1361. Temperature at altitude above 11km will?,Increase exponentially.,Decrease exponentially.,Remain constant.,Remain constant.
"1362. With increasing altitude at altitude from 3 to 8 km, pressure decreases and?",Temperature increases.,Temperature decreases.,Temperature remains constant.,Temperature decreases.
1363. How do you understand about the tropopause?,The tropopause has different heights around the earth.,The tropopause has the heights less than 3 kilometers over the equator.,The tropopause has the same heights around the earth.,The tropopause has different heights around the earth.
1364. In the transonic region some speeds around the aircraft are?,The same with the speed of sound.,Always below the speed of sound.,Below the speed of sound and some are higher than the speed of sound.,Below the speed of sound and some are higher than the speed of sound.
1365. The continuity equation states that the speed of the airflow is?,Inversely proportional to the area of the cross section of the tube as long as the density remains constant.,Proportional to the area of the cross section of the tube as long as the density remains constant.,Inversely proportional to the area of the cross section of the tube as long as the density changes.,Inversely proportional to the area of the cross section of the tube as long as the density remains constant.
1366. The coefficient of lift is the measured lift divided by?,Theoretical drag.,Theoretical lift.,Theoretical push.,Theoretical lift.
"1367. In the subsonic region, the speed is?",Constant.,So slow that a flying body does not compress the air.,So high that a flying body does not compress the air.,So slow that a flying body does not compress the air.
1368. Which of the following is true?,Lift acts at right angles to the relative airflow and weight acts vertically down.,Lift acts at right angles to the wing chord line and weight acts vertically down.,Lift acts at right angles to the relative air flow and weight acts at right angles to the aircraft centre line.,Lift acts at right angles to the relative airflow and weight acts vertically down.
1369. A profile is?,A cross section of a wing.,A cross section of a fuselage.,A cross section of a Tailcone.,A cross section of a wing.
1370. The chord line of a wing is a line that runs from?,The centre of the leading edge of the wing to the trailing edge.,Half way between the upper and lower surface of the wing.,One wing tip to the other wing tip.,The centre of the leading edge of the wing to the trailing edge.
1371. How many different wing shapes with their lift distribution?,2,3,4,4
1372. What is the definition of Angle of Incidence?,The angle the underside of the mainplane or tailplane makes with the horizontal.,The angle the underside of the mainplane or tailplane makes with the longitudinal datum line.,The angle between the chord line of the profile and the longitudinal axis of the aircraft.,The angle between the chord line of the profile and the longitudinal axis of the aircraft.
1373. The angle of attack is?,The angle between the chord line of the profile and the longitudinal axis of the aircraft.,The angle the underside of the mainplane or tailplane makes with the horizontal.,The angle between the chord line of the profile and the relative wind.,The angle between the chord line of the profile and the relative wind.
1374. The aspect ratio is?,"The wing span, b, divided by the average chord, c.","The wing span, b, divided by the lift.","The wing span, b, divided by the drag.","The wing span, b, divided by the average chord, c."
"1375. For a given aerofoil production lift, where P = pressure and V = velocity.","P1 is greater than P2, and V1 is less than V2.","P1 is greater than P2, and V1 is greater than V2.",P1 is less than P2 and V1 is greater than V2.,"P1 is greater than P2, and V1 is less than V2."
1376. The aerodynamic force has?,Two components,Three components,Four components,Two components
1377. A Lift is?,Perpendicular to the chord line.,Perpendicular to aircraft axis.,Perpendicular to the relative wind.,Perpendicular to the relative wind.
1378. A Drag is?,Perpendicular to the chord line.,Parallel to the relative wind.,Perpendicular to the relative wind.,Parallel to the relative wind.
1379. The dihedral of the wing is?,The angle the uperside of the mainplane or tailplane makes with the horizontal.,The angle the underside of the mainplane or tailplane makes with the horizontal.,The angle formed between the wing and the horizontal plane passing through the root of the wing.,The angle formed between the wing and the horizontal plane passing through the root of the wing.
1380. The maximum camber and the location or the maximum camber help to?,Define the lift.,Define the drag.,Define the shape of the mean camber line.,Define the shape of the mean camber line.
1381. The relative wind depends on?,The flight path and is therefore not always horizontal.,The angle of attack and is therefore not always horizontal.,The angle of attack and is always horizontal.,The flight path and is therefore not always horizontal.
1382. When the cylinder rotates the circulatory flow causes?,An decrease in local speed on the upper surface of the cylinder and a decrease in local speed on the lower surface.,An increase in local speed on the upper surface of the cylinder and a decrease in local speed on the lower surface.,An increase in local speed on the lower surface of the cylinder and a decrease in local speed on the lower surface.,An increase in local speed on the upper surface of the cylinder and a decrease in local speed on the lower surface.
1383. The turbulent boundary layer also produces?,Lower kinetic energy next to the surface and this reduces the tendency for a flow separation.,Higher kinetic energy next to the surface and this reduces the tendency for a flow separation.,Higher kinetic energy next to the surface and this increase the tendency for a flow separation.,Higher kinetic energy next to the surface and this reduces the tendency for a flow separation.
"1384. When we have a flow separation at the root of the wing, the center of lift?",Moves towards the root and also behind the center of gravity.,Moves towards the tip and also behind the center of gravity.,Moves towards the tip and also before the center of gravity.,Moves towards the tip and also behind the center of gravity.
1385. When does the angle of incidence change?,It never changes.,When the aircraft attitude changes.,When the aircraft is ascending or descending.,It never changes.
1386. If the wing span is infinite the circulation around the profile causes?,An downwash on the leading edge and a downwash on the trailing edge.,An upwash on the leading edge and an upwash on the trailing edge.,An upwash on the leading edge and a downwash on the trailing edge.,An upwash on the leading edge and a downwash on the trailing edge.
1387. Upper surface frost and especially leading edge ice formation reduce?,The maximum coefficient of drag and the maximum angle of attack.,The maximum coefficient of lift and the maximum angle of incidence.,The maximum coefficient of lift and the maximum angle of attack.,The maximum coefficient of lift and the maximum angle of attack.
1388. A flow separation at the tip of the wing is much more dangerous. It causes?,The center of lift moves towards the root and also forward of the center of gravity.,The center of lift moves towards the tip and also forward of the center of gravity.,The center of lift moves towards the root and also aft of the center of gravity.,The center of lift moves towards the root and also forward of the center of gravity.
1389. Different wing shapes are?,"An elliptical wing, a rectangular wing, a tapered wing, a swept wing","An elliptical wing, a rectangular wing.","An elliptical wing, a swept wing","An elliptical wing, a rectangular wing, a tapered wing, a swept wing"
1390. On an aerodynamically twisted wing the camber of the profile at the root is?,Smaller than the camber at the tip and the angle of incidence is constant across the wing span.,Greater than the camber at the tip and the angle of incidence is increased across the wing span.,Greater than the camber at the tip and the angle of incidence is constant across the wing span.,Greater than the camber at the tip and the angle of incidence is constant across the wing span.
1391. On a geometrically twisted wing the camber of the profile is?,Smaller than the camber at the tip and the angle of incidence is constant across the wing span.,Greater than the camber at the tip and the angle of incidence is increased across the wing span.,Constant across the span of the wing but the angle of incidence is greater at the root than at the tip.,Constant across the span of the wing but the angle of incidence is greater at the root than at the tip.
1392. When the position of the center of lift moves forward of the position of the center of gravity we have?,A nose up reaction.,A down up reaction.,No nose up or down reaction.,A nose up reaction.
1393. Compressible drag only occurs?,In transonic and supersonic flight.,In transonic flight only.,In supersonic flight only.,In transonic and supersonic flight.
1394. The vortex generator takes relatively high energy air from?,Inside the boundary layer and mixes it with low energy air in the boundary layer.,Outside the boundary layer and mixes it with low energy air in the boundary layer.,Outside the boundary layer and mixes it with high energy air in the boundary layer.,Outside the boundary layer and mixes it with low energy air in the boundary layer.
1395. What is Thrust?,The force which moves the aircraft forward through the air.,Provided by jet engines or by a propeller.,The aerodynamic force which is parallel to the flight path.,The force which moves the aircraft forward through the air.
1396. What is Drag?,The aerodynamic force which is parallel to the flight path.,The force which moves the aircraft forward through the air.,Provided by jet engines or by a propeller.,The aerodynamic force which is parallel to the flight path.
1397. What is Lift?,The aerodynamic force which is ninety degrees to the flight path.,The force which moves the aircraft forward through the air.,Provided by jet engines or by a propeller.,The aerodynamic force which is ninety degrees to the flight path.
"1398. If an aircraft moves in yaw, what axis does it move about?",Longitudinal.,Lateral.,Vertical.,Vertical.
1399. What does Lateral stability refer to?,The roll movement around the longitudinal axis.,The yaw movement around the vertical axis.,The pitch movement around the lateral axis.,The roll movement around the longitudinal axis.
1400. What does Directional stability refer to?,The yaw movement around the vertical axis.,The pitch movement around the lateral axis.,The roll movement around the longitudinal axis.,The yaw movement around the vertical axis.
1401. What does Longitudinal stability refer to?,The pitch movement around the lateral axis.,The roll movement around the longitudinal axis.,The yaw movement around the vertical axis.,The pitch movement around the lateral axis.
1402. What is Weight?,The force of thrust.,The force of pressure.,The force of gravity.,The force of gravity.
1403. How many degrees to the flight path of Lift force?,90 degrees,70 degrees,50 degrees,90 degrees
1404. What can The center of gravity be thought of as?,A center of pressure.,A center of balance.,A center of lift.,A center of balance.
1405. What about the thrust and the drag?,The thrust line is below the drag line.,The drag line is below the thrust line.,The thrust line and the drag line is the same.,The thrust line is below the drag line.
1406. What is The moment arm?,The largest distance between the point of rotation and the line of action of the force.,The shortest distance between center of pressure and the line of action of the force.,The shortest distance between the point of rotation and the line of action of the force.,The shortest distance between the point of rotation and the line of action of the force.
