Question,Option A,Option B,Option C,Option D,Correct Answer
The propeller is driven by an engine with a performance measured in?,High pressure compressor power.,Low pressure compressor power.,Shaft horse power or Brake horse power.,,Shaft horse power or Brake horse power.
Propellers can also be used as aerodynamic brakes by?,Reversing the direction of air acceleration.,Forward the direction of air acceleration.,Reversing the direction of air deceleration.,,Reversing the direction of air acceleration.
The propeller is connected to the propeller shaft by?,The hub.,The root.,The tip.,,The hub.
The way the propeller works is based on?,The reactive principle.,The drag force.,The torque.,,The reactive principle.
Blade Angle is:,The angle between the propeller chord and the rotational plane of the propeller the blade angle,The angle of attack is the angle between the profile chord line and the relative air flow towards it.,The angle between the rotational plane of the propeller and the relative velocity.,,The angle between the propeller chord and the rotational plane of the propeller the blade angle
"As the geometry of the blade changes from the root to the tip, details on chord length, chord thickness and blade angle refer to a particular reference station. This reference station is normally located from?",0.5R - 0.7R.,0.7R - 0.75R.,0.75R - 0.9R.,,0.7R - 0.75R.
"Because of the higher velocity of the propeller wash behind the propeller plane, its cross−section is?",Reduced there.,Increased there.,Constant there.,,Reduced there.
The purpose of propeller twist is?,Coarsen the blade angle at the root.,To maintain Blade Angle along the blade.,To maintain Angle of Attack at the same value along the blade.,,To maintain Angle of Attack at the same value along the blade.
Blade angle at the root is?,Low.,High.,Master blade angle.,,High.
The static loads are superimposing at?,The blade root.,The blade tip.,The mid blade.,,The blade root.
Propellers are subdivided into?,Fixed pitch propellers.,Adjustable pitch propellers and Variable pitch propellers.,"Fixed pitch propellers, Adjustable pitch propellers and Variable pitch propellers.",,"Fixed pitch propellers, Adjustable pitch propellers and Variable pitch propellers."
What are the characteristics of Fixed Pitch Propeller?,The blade angle (pitch) cannot be changed.,The blade angle can be changed on the ground when the engine is shut down.,The blade angle can be changed during operation.,,The blade angle (pitch) cannot be changed.
What are the characteristics of Variable Pitch Propeller?,The blade angle (pitch) cannot be changed.,The blade angle can be changed when the engine is shut down only.,The blade angle can be changed during operation.,,The blade angle can be changed during operation.
"Should the engine fail during flight, this blade position is favourable for?",Windmilling.,High pitch.,Low pitch.,,Windmilling.
The centrifugal force of the propeller blade mass produces a pitch change moment which turns the blade in the direction of?,High pitch.,Fine pitch.,Reverse.,,Fine pitch.
"If the control valve, as in the Dowdy propeller of the Fokker 50, is mounted behind the gearbox in the PCU, the propeller shaft must have?",One oil transfer tube.,Two oil transfer tubes.,Three oil transfer tubes.,,Two oil transfer tubes.
"With a propeller working on the constant speed principle, the RPM selected by the pilot is kept constant by changing?",The blade angle.,Blade speed.,Torque.,,The blade angle.
The propeller control lever is also called?,Speed lever only.,Condition lever only.,Speed lever or Condition lever.,,Speed lever or Condition lever.
The propeller governor consists of?,"A flyweight, a pilot valve, a speeder spring and two gear pumps.","Flyweights, a pilot valve, a speeder spring and a gear pump.","Flyweights, a pilot valve, two speeder springs and three gear pumps.",,"Flyweights, a pilot valve, a speeder spring and a gear pump."
"To enable thrust to be reduced on the ground even further, turboprop engines have a second control mode called?",The Alpha mode.,The Reverse mode.,The Beta mode.,,The Beta mode.
"The RPM range in alpha mode is relatively small, from:",55% to 70%.,70% to 80%.,95% to 100%.,,95% to 100%.
A reduction in pitch leads to?,A smaller brake moment and thus higher RPM.,A larger brake moment and thus higher RPM.,A larger brake moment and thus lower RPM.,,A smaller brake moment and thus higher RPM.
The low RPM stop within the propeller is often set by?,The manufacturer at a higher value.,The manufacturer at a lower value.,"The aircraft technician, so that maximum take−off RPM can be reached if the aircraft is stationary.",,The manufacturer at a higher value.
"In the case of propellers with a feathering position, oil pressure works in the direction of?",Fine pitch.,High pitch.,Course pitch.,,Fine pitch.
Engine and Propeller Control in Propeller Governing Mode in which operation mode?,Flight Operation.,Take Off and Flight Operation.,Ground Operation.,,Take Off and Flight Operation.
Negative torque can occur if?,The engine suddenly loses power on ground.,Gusts hit the propeller and the force of air drives the propeller lower than the engine can do it.,The engine suddenly loses power in flight or gusts hit the propeller and the force of air drives the propeller faster than the engine can do it.,,The engine suddenly loses power in flight or gusts hit the propeller and the force of air drives the propeller faster than the engine can do it.
The synchronizer calculates the propeller revolutions with the aid of inductive RPM sensors on?,The propeller shafts.,Blade tip.,Blade root.,,The propeller shafts.
"If the RPMs of the propellers of multiple engine aircraft deviate even only slightly from each other, this results in?",Vibrations.,Increasing the life span of the structure.,Decreasing the noise.,,Vibrations.
Operating synchronizing systems automatically matches the revolutions of one or several propellers to the RPM of?,The master engine.,The right engine.,Speed of Governor shaft.,,The master engine.
"When the synchronizer system is switched off, the actuator of the slave engine is automatically set to?",The extent position.,The central position.,The retract position.,,The central position.
The phase position of the slave propeller is?,Always the same with the master propeller.,Some degrees off that of the master propeller.,Not synchronized the master propeller.,,Some degrees off that of the master propeller.
The synchrophasing function is not automatically activated if the power lever is at?,CLIM,CRUISE.,TAKE OFF.,,TAKE OFF.
"When the aircraft is flying under icing conditions, icing protection is necessary to prevent ice from forming on?",The propeller spinner.,The propeller blades.,The propeller hub.,,The propeller blades.
