Question,Option A,Option B,Option C,Option D,Correct Answer
All Monitors for EIS,are same type in all aircrafts,are same type in an aircraft,are difference type in an aircraft,,are same type in an aircraft
All modern aircraft use,Electronic Instrument Display Systems,Analoge Indicator,Analoge technology,,Electronic Instrument Display Systems
A typical Electronic System has the following components,"Display Computers, Display Units and Control Panels","Display Computers, Display Units and Keyboards","Display Computers, Display Units and Mouse",,"Display Computers, Display Units and Control Panels"
What generation of display unit are installed in the early 80’s,LCD display units,Simple cathod ray tubes,Display units,,Simple cathod ray tubes
Which generation of display unit are installed since 90’s,LCD display units,Simple cathod ray tubes,Analogue Display Units,,LCD display units
Which Display Unit indicate the data of naviagtion system?,Primary Flight Display (PF,Navigation Display (N,System Display (SD),,Navigation Display (N
The lower center display unit is called,System display,Engine Indication display,Warning display,,System display
The two groups indicators in the cockpit are,Flight surveillance and Engine surveillance,Aircraft surveillance and Engine surveillance,Flight surveillance and Aircraft surveillance,,Flight surveillance and Aircraft surveillance
The inputs of Display computers are:,"Navigation data, Auto Flight System data and Display Unit",Engine data and Auto Flight System data and Display Unit,"Navigation data, Auto Flight System data, Engine data and Data from various aircraft systems.",,"Navigation data, Auto Flight System data, Engine data and Data from various aircraft systems."
Each pilot has two Display Units. They are,Primary Flight Display (PF,Primary Flight Display (PF,Navigation Display (N,and System Display (SD),Primary Flight Display (PF
How many display computers on aircraft?,Two display computers,Three display computers,There are at least two display computers. Large aircraft have a third display computer for redundancy,,There are at least two display computers. Large aircraft have a third display computer for redundancy
Which informations are displayed on the Electronic Flight Instruments?,The navigation data,The navigation data and the information about the activities of the auto flight system,The information about the activities of the auto flight system,,The navigation data and the information about the activities of the auto flight system
The upper center display shows,Alerts from various aircraft systems if something is out of limit,Aircraft System data,The information about the activities of the auto flight system,,Alerts from various aircraft systems if something is out of limit
Which components are form a display unit,Cathod ray tube and Symbol Generator Unit (SGU),Cathod ray tube and symbol generator,Cathod ray tube and Display Management Computer (DMC),,Cathod ray tube and symbol generator
Which indicator is belongs to Flight surveillance group?,Heading indicator,Position Indication,EGT indicator,,Heading indicator
Which indicator is belongs to Aircraft surveillance group?,Position indication,Altimeter,Fuel indicator,,Position indication
The Base of Binary Number System is,2,6,8,,2
What is used for the power of 10?,Binary.,Decimal.,Octal,,Decimal.
"If a data message is made up of 1s and 0s, it is.",analogue,binary,digital,,digital
A hexadecimal is a number to base,2,8,16,,16
A computer message 3B4 is.,Binary,hexadecimal,Octal,,hexadecimal
"A number represented as a physical quantity, e.g. voltage or speed of rotation is",digital,analogue,Discrete,,analogue
If a signal has quantity in volts and physical position it is,digital,synchronous,analogue,,analogue
An A/D (Analogue/Digital) converter converts,"A continuous voltage signal, or analog signal into a multi-bit digital word",A continuous voltage signal into a multi-bit digital word,Discrete signal into a multi-bit digital word,,"A continuous voltage signal, or analog signal into a multi-bit digital word"
The sawtooth principle uses,a sawtooth created by the converter and compates it with the output voltage,a sawtooth created by the converter and compates it with the input voltage,a sawtooth created by the converter and compates it with the input current,,a sawtooth created by the converter and compates it with the input voltage
A ramp generation A/D converter compares,the unknown input voltage to a D/A with output voltage,the certain input voltage to a D/A connected as a ramp generator,the unknown input voltage to a D/A connected as a ramp generator,,the unknown input voltage to a D/A connected as a ramp generator
Why does an ARINC databus system send data to LRUs in series?,Saves weight,More information can be sent,Takes less time,,Saves weight
An ARINC 429 bus uses,a single twin cable for each transmitter,a twisted shielded pair of wires,"two bi-directional twin, sheathed and earthed wires",,a twisted shielded pair of wires
"In the ARINC 429 digital information transfer system, data may travel in",both directions on the same bus simultaneously,one direction only,both directions on the same bus sequentially by time multiplexing,,one direction only
ARINC 629 is used for,emergency only,a backup to ARINC 429,supports a multi-transmitter and bidirectional approach to digital data communications,,supports a multi-transmitter and bidirectional approach to digital data communications
ARINC 629 is,half duplex,full duplex,simplex,,half duplex
A simplex system has,"one transmitter, one receiver",a bus controller and separate controller,"one transmitter, many receivers",,"one transmitter, many receivers"
An ARINC 429 system uses a.,20 bit word over a bi-directional bus,32 bit word over a twisted pair of wires,16 bit word over a twisted pair of wires,,32 bit word over a twisted pair of wires
RZ bi-polar modulation consists of bits which are one of __________ states?,Two,Three,Four,,Three
Where is the parity bit installed in a data word?,Front,End LSB,End MSB,,End MSB
What system uses base 8?,"ARINC 429, in dataword labels only",ARINC 573,ARINC 629,,"ARINC 429, in dataword labels only"
ARINC 429 SDI word format is at bits,32,30-31,9-10,,9-10
