Question,Option A,Option B,Option C,Option D,Correct Answer
Pitch is the nose up - nose down motion around the,Vertical axis.,Longitudinal axis.,Lateral axis,,Lateral axis
The primary flight controls are,The ailerons and elevator,"The ailerons and roll spoiler, elevator and rudder","The ailerons, elevator and rudder",,"The ailerons and roll spoiler, elevator and rudder"
Way to reduce the wave drag,Use vortex generators,"Apply the ""Area rule""","Use vortex generators and apply the ""Area rule""",,"Use vortex generators and apply the ""Area rule"""
The inlet design must slow the air with the weakest possible series or combination of shock waves in order to minimize the energy losses caused by temperature,Increases,Decreases,Increases or decreases depend on air speed,,Increases
Which lift device increase lift 70%?,Plain flap,Slotted flap,Fowler flap,,Slotted flap
A normal shock wave takes place at Mach,1.2,2.1,1.3,,1.2
Forward and backward movement of the side stick is used for pitch control by,The elevators,The ailerons,The rudder,,The elevators
The function of the spoilers is to,Increase the drag,Reduce the lift,Increase the drag and reduce the lift,,Increase the drag and reduce the lift
"On A/C has slotted flaps, when the flaps extend the slots allow",Air from the lower side of the wing to flow to the upper side to prevent an early flow separation,Air from the upper side of the wing to flow to the lower side to prevent and early flow separation,Air from the lower side of the wing to flow to the upper side to prevent and a late flow separation,,Air from the lower side of the wing to flow to the upper side to prevent an early flow separation
"If an aircraft is flying with a left wing low, to balance the A/C, you should move the left aileron trim tab?",Moving the aileron trim tab will not correct the situation,Down,Up,,Up
"On aircraft fitted with spoilers for lateral control, roll to the right is caused by.",Left and right spoilers extending,"Right spoilers extending, left spoiler remain retracted","Left spoilers extending, right spoiler remain retracted",,"Right spoilers extending, left spoiler remain retracted"
All speeds around the aircraft are below the speed of sound is called,The subsonic region,The transonic region,The supersonic region,,The subsonic region
The flaps are used in which flight phase?,Landing,Take-off,Landing and Take-off,,Landing and Take-off
The anti−balance tab deflects,In the same direction as the control surface,In the opposite direction as the control surface,Depend on demand of pilot,,In the same direction as the control surface
The A/C equipped with elevons,Does not have separated aileron,Does not have separated rudder,Use as a combination of elevator and flap,,Does not have separated aileron
"In supersonic flight,","Velocity decreases, temperature decreases","Velocity increases, temperature increases","Velocity decreases, temperature increases",,"Velocity decreases, temperature increases"
Which is not true about semi-monocoque structure,"The semi-monocoque fuselage is constructed primarily of the alloys of aluminium, although steel and titanium are found in areas of high temperatures.","The bulkheads, frames, stringers and longerons facilitate the design and construction of a streamlined fuselage, and add to the strength and rigidity of the structure.",All the strength of the structure is carried in the outside skin.,,All the strength of the structure is carried in the outside skin.
Which part has function to transfer directly the pressure load from the skin to the frame?,Stringer,Clip,Longegron,,Clip
Which process is the most important treatment for aluminium alloys,Anodizing process,Alodizing process,Cleaning process,,Anodizing process
Which one is not purpose of primer layer:,The primer increases the corrosion resistance 1properties because it contains corrosion inhibitors,The primer also protects the surface against corrosive agents and gives a good surface for the adhesion of the subsequent paint coatings.,The primer has the function to protect the layers of the bare material and gives the aircraft the necessary appearance.,,The primer has the function to protect the layers of the bare material and gives the aircraft the necessary appearance.
Which layer is directly applied before applying top coat layer,Wash primer,Primer,Pre-treatment,,Primer
Which one is true about special coatings,This is used to cover protected surfaces or to protect unprotected surfaces,It helps the surface is roughened which provides a good contact for paint coatings,"The purpose is to remove all dirt, oil, fuel, fluid, dust deposits and accumulated dirt from landing gear and wheel for inspection and maintenance purposes",,This is used to cover protected surfaces or to protect unprotected surfaces
"In some locations on an aircraft where it is not possible to reach both sides of the structure, which type of fastener must be used?",Bolt and nut,Solid rivet,Blind rivet,,Blind rivet
Which structure member carry and distribute different loads of the fuselage,Bulkhead,Stringer,Skin,,Bulkhead
What is primary structure,"Primary structure is that structure which contributes significantly to carrying flight, ground and pressurization loads.",Primary structure is that structure which carries only air or inertial loads generated on or within the secondary structure.,Primary structure is that structure which contributes significantly to carrying flight and pressurization loads,,"Primary structure is that structure which contributes significantly to carrying flight, ground and pressurization loads."
Which is correct about “safe-life” design principle?,The safe-life design principle requires that major structural elements be replaced after a fixed number of flight cycles.,These parts can be repaired or refurbished to extend the components life,"This method relies upon a duplication of certain structural members to ensure that if one member failed, the other would assume the load of the failed member.",,The safe-life design principle requires that major structural elements be replaced after a fixed number of flight cycles.
How many type of aircraft fuselage construction?,1,2,3,,2
How far are frames normally spaced used in constructing the fuselage?,20 inches,22 inches,24 inches,,20 inches
Where is the keel beam located?,Through the center wing section of the fuselage,Through the aft wing section of the fuselage,Through the mid section of the fuselage,,Through the center wing section of the fuselage
"In case of emergency, which doors can be used as emergency exit doors for a quick passenger and crew evacuation?",Cargo doors,Service doors,Main entry doors,,Main entry doors
The basic construction of the doors comprises,The door structure and the different mechanisms,The door structure and the linings,"The door structure, the linings and the different mechanisms",,"The door structure, the linings and the different mechanisms"
