Question,Option A,Option B,Option C,Option D,Correct Answer
When shall operator revise the Aircraft Maintenance Schedule?,Operator can not revise the Aircraft Maintenance Schedule.,"Operator shall update, revise and submit the aircraft maintenance schedule to CAAV for approval in, not exceeding, 90 days since the aircraft manufacturer promulgates or modify it.",Operator can update/ revise and use the Aircraft Maintenance Schedule without the approval of CAAV,No need to update/ revise the Aircraft Maintenance Schedule.,"Operator shall update, revise and submit the aircraft maintenance schedule to CAAV for approval in, not exceeding, 90 days since the aircraft manufacturer promulgates or modify it."
Management system of aircraft maintenance:,is prepared by operator and no need to be approved by CAAV,includes MEL for each type of aircraft and technical service promotion policies,includes procedures for issuing CMR and CRS.,is approved by the holder of type certificate.,includes procedures for issuing CMR and CRS.
The minimum equipment list (MEL) is compiled by.,the manufacturer and the air operator after joint consultation.,the AOC holder.,the manufacturer.,CAAV.,the AOC holder.
AOC holder’s maintenance control manual,provides how to maintain a component on an aircraft.,provides the use and guidance of maintenance and operational personnel concerned,provides when to overhaul a component.,can be used after AOC holder approved and notified to CAAV.,provides the use and guidance of maintenance and operational personnel concerned
A major repair/ major modification is carried out,without the permission of CAAV,without need of report to CAAV after the completion,in accordance with technical data approved by the CAAV,and then can be certified for maintenance release by a technician who has been trained with a appropriate training courses in VAR Part 9 - approved training organization.,in accordance with technical data approved by the CAAV
The minimum requirements for recording a technical log are:,"servicing of fuel and oil, defects, trend monitoring and maintenance tasks and tests","defects, trend monitoring and maintenance tasks and tests",trend monitoring and maintenance tasks and tests,maintenance tasks and tests,"servicing of fuel and oil, defects, trend monitoring and maintenance tasks and tests"
Who is responsible for completing weight and balance documentation prior to each flight?,Operator.,VAR Part 5 maintenance organisation.,CAAV Ground handling company.,,Operator.
Which statement below is correct,"Documents to be carried on aircraft do not include certificate of Registration, Airworthiness, Insurance and Radio License.","Documents to be carried on aircraft do not include C of A, Noise certificate","Documents to be carried on aircraft do not include Technical Log, AFM or RFM","Documents to be carried on aircraft include but not limit to Certificate of Registration, C of A, Noise certificate, License of use of radio devices, Technical Log, AFM or RFM, Normal, abnormal and emergency checklists.","Documents to be carried on aircraft include but not limit to Certificate of Registration, C of A, Noise certificate, License of use of radio devices, Technical Log, AFM or RFM, Normal, abnormal and emergency checklists."
The requirement for re-weighing an aircraft under VAR Part 10 is.,normally at intervals of 36 calendar-months.,annual.,normally at intervals of 24 calendar-months.,normally at intervals of 48 calendar-months.,normally at intervals of 36 calendar-months.
"One of the contents is described in Air operator certificate, which answer is correct ?",Name and location of AMO,"The type(s) of aircraft(s) authorised for use, specific authorizations, conditions and limitations.",Stamped and signed by Operator,All scheduled maintenance must be performed as required by CAAV that will be described in the AOC certificate.,"The type(s) of aircraft(s) authorised for use, specific authorizations, conditions and limitations."
"For all aircraft registered in the Vietnam, the document to be carried on aircraft for all operations described in which VAR’s part?",VAR Part 5.,VAR Part 10,VAR Part 21,"VAR Part 4, 4.",VAR Part 10
"To operate an aircraft in commercial air transport in Vietnam, operators must:.",operators hold an AOC approved by CAAV.,hold a DOA Certificate.,nonspecific requirement.,hold an AMO Certificate.,operators hold an AOC approved by CAAV.
"Where to find information as record of all servicing of fuel and oil, defects on aircraft during operation?",Technical logbook.,Flight manual.,Aircraft Logbook.,Maintenance Manual.,Technical logbook.
Amendments to VAR Parts are by way of.,orange pages.,grey pages.,blue pages.,red letters.,red letters.
Deferred defects are recorded in.,the Deferred defect manual.,the Technical Log.,the Technical Manual.,Maintenance Manual,the Technical Log.
Which of the following mandatory documents must be carried on an aircraft when flying within territory of Vietnam?,Certificate of Registration.,Maintenance Manual,Engine Logbook.,"Domestic flight within Vietnam, AOC holder does not have to carry any mandatory documents on an aircraft.",Certificate of Registration.
The Aircraft Maintenance Schedules are produced by.,manufacturer with CAAV approval.,operator.,CAAV Safety Regulation Group.,VAR Part 5 AMO.,operator.
What operations do the requirements in VAR Part 17 apply to ?,Military aircraft operations,General aviation operations by light aircraft,Glide plane operations,"Commercial air transport operations and General aviation operations, by Turbojet airplane and large airplane","Commercial air transport operations and General aviation operations, by Turbojet airplane and large airplane"
VAR Part 17 covers.,maintenance.,instruments and equipment.,"mass, balance and performance",Ground De-icing,"mass, balance and performance"
VAR Part 21 Subpart G applies to.,Manufacture approval,Maintenance Organization approval,Air Operator approval,Design Organization Approval,Manufacture approval
Which of the following information is not a part of the aircraft Technical Log?,Fuel and oil uplift column.,List of approved maintenance organization contracted for aircraft maintenance AOC holder.,Airport entry column including the departure and arrival airport.,The AOC holder’s company name.,List of approved maintenance organization contracted for aircraft maintenance AOC holder.
